Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.51,8.54,8.33,8.39,42478000,8.114542
2013-03-01,8.45,8.70,8.30,8.52,15232200,8.240273
2013-02-01,8.89,9.37,8.35,8.52,21187800,8.240273
2013-01-02,8.88,9.33,8.77,8.84,20223200,8.521076
2012-12-03,8.45,8.91,8.35,8.68,15955200,8.366849
2012-11-01,8.62,8.82,7.98,8.41,15451700,8.106589
2012-10-01,8.94,9.34,8.56,8.57,19622500,8.260818
2012-09-04,8.56,9.93,8.40,8.86,21275000,8.510735
2012-08-01,8.49,8.98,8.10,8.56,14994500,8.222562
2012-07-02,8.74,9.06,7.97,8.47,24228000,8.107292
2012-06-01,8.39,9.00,8.21,8.75,21418200,8.375301
2012-05-01,9.74,10.01,8.31,8.55,23637100,8.183866
2012-04-02,9.93,10.24,9.31,9.73,28176400,9.282799
2012-03-01,10.25,10.75,9.45,10.02,25663900,9.559471
2012-02-01,10.27,10.92,10.03,10.17,24087000,9.702577
2012-01-03,8.94,10.74,8.89,10.16,33417400,9.664414
2011-12-01,9.93,10.11,8.50,8.65,28126900,8.228069
2011-11-01,10.22,11.02,8.87,10.02,31222800,9.531244
2011-10-03,9.41,11.66,8.45,10.76,48202100,10.205624
2011-09-01,12.68,12.88,9.56,9.57,29585100,9.076935
2011-08-01,15.08,15.15,11.11,12.80,32353600,12.140519
2011-07-01,15.99,16.60,14.50,14.73,22756400,13.941481
2011-06-01,16.629999,16.67,14.56,15.86,20654900,15.01099
2011-05-02,17.27,17.959999,15.83,16.809999,27652400,15.910135
2011-04-01,17.799999,18.469999,15.88,17.00,29374400,16.061655
2011-03-01,16.93,17.75,15.42,17.66,22717800,16.685225
2011-02-01,16.66,17.68,15.96,16.85,27344100,15.919935
2011-01-03,15.82,16.719999,15.60,16.57,43549100,15.628272
2010-12-01,13.35,15.63,13.31,15.39,21547500,14.515336
2010-11-01,13.19,14.17,12.86,13.13,22615500,12.38378
2010-10-01,12.24,13.49,11.81,13.14,31917000,12.365129
2010-09-01,10.41,12.25,10.32,12.11,26627500,11.395868
2010-08-02,11.35,11.78,9.92,10.22,22174000,9.617323
2010-07-01,10.10,11.42,9.81,11.17,27481400,10.484022
2010-06-01,11.43,12.12,10.01,10.06,28713100,9.44219
2010-05-03,13.50,13.54,10.56,11.64,43424600,10.925159
2010-04-01,14.40,15.15,13.35,13.43,39229100,12.575171
2010-03-01,13.25,14.82,13.19,14.24,35527000,13.333612
2010-02-01,12.99,13.90,12.61,13.30,37629900,12.453444
2010-01-04,16.469999,17.60,12.26,12.73,55728600,11.893566
2009-12-01,12.75,16.51,12.64,16.120001,31222700,15.060825
2009-11-02,12.54,13.80,12.06,12.52,24982300,11.697366
2009-10-01,13.36,15.11,11.89,12.42,41460200,11.576439
2009-09-01,12.05,14.84,11.29,13.12,30461500,12.228894
2009-08-03,12.17,13.88,12.02,12.05,36822200,11.231569
2009-07-01,10.48,11.88,8.96,11.76,38895900,10.935655
2009-06-01,9.50,12.38,9.31,10.33,43895300,9.605894
2009-05-01,9.09,10.98,8.33,9.22,36283400,8.573703
2009-04-01,7.14,9.39,7.03,9.07,39426200,8.409239
2009-03-02,6.05,8.20,4.97,7.34,63981100,6.805272
2009-02-02,7.77,8.90,5.70,6.23,29199700,5.776136
2009-01-02,11.36,12.44,7.74,7.79,30078900,7.069774
2008-12-01,10.18,11.46,7.46,11.26,25474900,10.218954
2008-11-03,11.83,12.57,6.80,10.76,27354100,9.765182
2008-10-01,22.35,22.35,9.00,11.50,32290200,10.294483
2008-09-02,31.75,32.00,20.93,22.58,19154500,20.212994
2008-08-01,33.75,33.75,30.65,32.130001,10185500,28.761892
2008-07-01,35.279999,35.66,31.02,33.75,17425100,30.050714
2008-06-02,40.48,44.240002,34.880001,35.619999,13591100,31.715746
2008-05-01,34.669998,44.77,33.650002,40.59,15743400,36.140991
2008-04-01,36.18,39.439999,33.759998,34.779999,11309000,30.967815
2008-03-03,37.169998,39.669998,33.799999,36.060001,16044700,31.949993
2008-02-01,33.669998,39.619999,31.90,37.139999,14882300,32.906895
2008-01-02,36.459999,36.779999,26.690001,33.09,16898800,29.165941
2007-12-03,36.48,37.98,33.220001,36.549999,8942600,32.21563
2007-11-01,39.209999,39.349998,34.52,36.369999,11610100,32.056973
2007-10-01,39.130001,40.700001,36.68,39.59,11858900,34.895123
2007-09-04,36.349998,39.50,33.23,39.119999,13003600,34.33197
2007-08-01,37.799999,38.43,30.25,36.529999,18641900,32.058968
2007-07-02,40.68,48.77,37.25,38.200001,26595400,33.375381
2007-06-01,41.400002,42.900002,37.84,40.529999,10925100,35.411106
2007-05-01,35.639999,41.549999,34.389999,41.279999,16588100,36.06638
2007-04-02,34.080002,36.50,33.630001,35.490002,9870200,30.856005
2007-03-01,32.709999,34.560001,31.610001,33.900002,9447300,29.473614
2007-02-01,32.540001,36.049999,32.07,33.41,12043100,29.047592
2007-01-03,30.049999,32.619999,28.09,32.299999,9861900,28.082527
2006-12-01,31.18,31.33,28.860001,30.01,5528400,25.954256
2006-11-01,29.00,31.24,27.690001,31.17,7324700,26.822876
2006-10-02,28.040001,28.959999,26.389999,28.91,10531900,24.748989
2006-09-01,28.73,29.59,26.60,28.040001,6697500,24.004208
2006-08-01,30.00,30.32,27.610001,28.59,5318300,24.475046
2006-07-03,33.130001,34.00,29.10,29.950001,7315100,25.507998
2006-06-01,31.809999,33.110001,28.549999,32.360001,6409000,27.560562
2006-05-01,34.220001,36.959999,30.110001,31.719999,8194500,27.015482
2006-04-03,30.76,35.950001,30.639999,33.779999,9156100,28.644064
2006-03-01,29.35,31.48,28.389999,30.559999,4645400,25.913635
2006-02-01,31.469999,32.200001,29.07,29.32,5739800,24.862165
