Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.709999,28.709999,28.07,28.309999,465000,28.084799
2013-03-01,27.25,29.00,26.809999,28.68,382800,28.451857
2013-02-01,29.809999,30.450001,27.27,27.290001,444100,27.056051
2013-01-02,28.719999,30.90,28.299999,29.65,354600,29.395817
2012-12-03,28.860001,29.280001,24.610001,28.280001,511600,28.037563
2012-11-01,30.84,32.529999,28.18,28.700001,508100,28.453962
2012-10-01,27.870001,30.84,26.23,30.83,453400,30.547758
2012-09-04,29.84,31.190001,27.370001,27.809999,612300,27.555405
2012-08-01,29.41,31.290001,28.549999,29.870001,360700,29.596546
2012-07-02,28.27,30.40,27.66,29.33,363300,29.046877
2012-06-01,26.059999,28.59,25.57,28.309999,511700,28.036722
2012-05-01,27.110001,27.93,25.129999,26.549999,411100,26.278778
2012-04-02,25.870001,28.280001,24.57,27.17,496600,26.892445
2012-03-01,27.950001,28.02,25.120001,25.90,651600,25.635418
2012-02-01,26.75,31.780001,26.610001,27.940001,669900,27.639732
2012-01-03,27.23,28.280001,24.59,26.610001,720200,26.324026
2011-12-01,26.200001,27.52,25.219999,26.68,360100,26.393272
2011-11-01,25.99,27.00,23.91,26.280001,483300,25.997572
2011-10-03,25.190001,29.10,23.24,26.76,553800,26.456127
2011-09-01,26.57,28.059999,24.219999,25.25,507500,24.963274
2011-08-01,25.51,27.00,22.17,26.639999,762500,26.337488
2011-07-01,28.370001,29.34,24.690001,25.209999,539500,24.911564
2011-06-01,28.190001,28.49,24.790001,28.26,564500,27.925459
2011-05-02,29.110001,29.190001,26.700001,28.209999,545000,27.863131
2011-04-01,25.50,29.290001,24.950001,28.790001,500700,28.436001
2011-03-01,23.620001,25.52,21.790001,25.360001,668800,25.048176
2011-02-01,19.290001,24.59,19.25,23.540001,661700,23.237238
2011-01-03,20.50,21.23,19.16,19.190001,465700,18.943186
2010-12-01,20.16,21.030001,19.73,20.389999,335200,20.12775
2010-11-01,18.700001,20.57,18.52,19.92,3300,19.663797
2010-10-01,18.59,20.18,16.809999,18.85,5900,18.595644
2010-09-01,13.00,18.40,13.00,18.40,6500,18.151714
2010-08-02,14.65,15.00,13.14,13.14,200,12.962693
2010-07-01,13.60,15.10,13.00,14.65,900,14.439422
2010-06-01,15.78,16.299999,13.55,13.70,1000,13.503078
2010-05-03,18.639999,18.66,15.50,16.01,1600,15.767851
2010-04-01,27.150002,28.949999,18.15,18.76,1600,18.476257
2010-03-01,24.030001,27.150002,23.849998,27.150002,1100,17.826241
2010-02-01,22.030006,25.02,21.970005,24.030001,1200,15.765882
2010-01-04,22.459995,23.299995,21.900002,22.300005,1100,14.630846
2009-12-01,20.639999,23.650005,20.639999,22.50,1000,14.762061
2009-11-02,19.950001,21.900002,19.950001,20.140005,1100,13.213689
2009-10-01,20.419994,22.549995,14.34,19.469999,1000,12.763096
2009-09-01,20.899994,22.390005,20.07,21.019997,700,13.77916
2009-08-03,22.000004,23.749996,20.849998,20.849998,500,13.667723
2009-07-01,23.389996,25.099995,21.190004,22.000004,3100,14.41026
2009-06-01,27.030001,27.75,22.249996,23.500004,2100,15.392778
2009-05-01,28.50,29.550001,23.639999,25.999996,3600,17.019482
2009-04-01,22.600006,30.449999,22.440001,30.449999,1500,19.932434
2009-03-02,19.999996,23.400002,19.139999,23.400002,2200,15.317536
2009-02-02,17.200005,21.769997,15.75,19.999996,6100,13.080608
2009-01-02,21.75,22.999996,17.599995,17.599995,1300,11.510935
2008-12-01,20.500004,23.500004,19.139999,21.949995,2300,14.355968
2008-11-03,20.500004,21.599998,17.749996,21.499996,900,14.061654
2008-10-01,22.570005,23.140005,13.50,20.500004,5600,13.396327
2008-09-02,24.300001,25.920002,21.48,22.069996,2900,14.422283
2008-08-01,23.509995,24.550007,22.540005,24.250004,4900,15.846874
2008-07-01,19.810005,24.739994,19.50,23.509995,1300,15.353001
2008-06-02,19.650002,24.00,19.650002,20.020004,1500,13.073893
2008-05-01,22.399994,22.600006,19.50,19.650002,600,12.821812
2008-04-01,19.600006,23.200005,19.000004,22.399994,1700,14.616209
2008-03-03,17.849998,21.010006,17.700001,19.000004,2300,12.397683
2008-02-01,17.050005,19.249996,16.600006,18.250004,1600,11.897847
2008-01-02,17.050005,18.550005,13.249995,17.099998,1800,11.148116
2007-12-03,19.110001,19.210005,16.26,17.260006,2300,11.25243
2007-11-01,18.66,20.980003,18.00,19.699995,600,12.843149
2007-10-01,21.599998,21.599998,16.92,19.660006,1000,12.80609
2007-09-04,23.500004,24.00,19.900005,21.400005,2500,13.939487
2007-08-01,22.600006,24.259995,22.000004,23.500004,1000,15.307381
2007-07-02,26.099998,26.16,22.049999,22.32,6800,14.529269
2007-06-01,25.98,26.939999,24.689999,26.099998,1200,16.989872
2007-05-01,25.349998,26.25,24.340004,25.699993,1700,16.719894
2007-04-02,23.969999,25.860001,23.539995,25.349998,600,16.492195
2007-03-01,23.500004,25.060005,23.500004,24.019997,2700,15.626922
2007-02-01,26.410006,27.520004,23.400002,23.880001,2900,15.526234
2007-01-03,26.629995,26.899996,25.249996,26.49,2000,17.223196
2006-12-01,24.09,26.380005,23.890005,26.380005,1400,17.15168
2006-11-01,22.999996,24.900002,22.600006,24.229996,1700,15.753792
2006-10-02,20.749996,23.200005,20.25,22.759995,2800,14.788686
2006-09-01,21.529995,23.650005,20.920004,21.00,1400,13.6451
2006-08-01,21.499996,22.50,20.25,21.539999,19100,13.995974
2006-07-03,24.209999,24.829994,21.900002,22.000004,2400,14.285252
2006-06-01,24.75,26.25,22.999996,24.209999,2600,15.720265
2006-05-01,24.199993,25.549995,23.299995,24.499996,3300,15.908568
2006-04-03,24.499996,25.300007,24.109995,24.400005,3300,15.834592
2006-03-01,24.300001,25.600004,23.239994,24.499996,2100,15.899481
2006-02-01,21.769997,24.499996,21.250004,24.499996,1500,15.890399
2006-01-03,19.200001,22.000004,19.200001,21.949995,1800,14.2365
2005-12-01,18.150002,19.390005,18.150002,19.390005,1500,12.576121
2005-11-01,17.800005,19.150005,17.800005,18.00,2400,11.674581
2005-10-03,19.900005,20.299995,17.500004,18.00,2300,11.665604
2005-09-01,19.990005,20.099998,19.300005,19.699995,4300,12.767352
2005-08-01,22.049999,22.879995,19.50,20.16,6900,13.065475
2005-07-01,22.399994,23.599995,20.099998,21.99,9100,14.241745
2005-06-01,20.449995,22.750004,20.400002,22.750004,1900,14.733959
2005-05-02,19.240005,21.049995,19.240005,20.25,5200,13.114841
2005-04-01,17.549999,19.999996,15.550005,19.289999,6500,12.485076
2005-03-01,18.790005,19.270004,17.200005,17.76,4500,11.494814
2005-02-01,19.699995,20.179995,17.73,18.709995,5100,12.101261
2005-01-03,22.200001,22.200001,18.00,19.099995,2700,12.353506
2004-12-01,21.949995,22.600006,21.00,22.300005,10000,14.42321
2004-11-01,20.050005,22.110001,19.50,21.949995,8700,14.196832
2004-10-01,19.840006,22.150005,19.840006,20.299995,3200,13.121872
2004-09-01,18.880005,20.179995,18.75,19.879995,2000,12.850385
2004-08-02,29.740005,29.740005,17.700001,18.889996,2400,12.210451
2004-07-01,30.230011,31.659996,28.500008,29.990002,2900,12.914754
2004-06-01,26.73,30.230011,26.500004,30.230011,5200,13.01811
2004-05-03,25.65,26.750004,24.500004,26.579992,3900,11.446283
2004-04-01,21.899992,26.199989,20.999992,25.499992,4300,10.97294
2004-03-01,21.550005,22.400009,20.999992,21.750008,2600,9.359278
2004-02-02,21.050011,22.000004,20.859997,21.15,2000,9.101088
2004-01-02,18.499996,20.900002,18.499996,20.900002,1500,8.993511
2003-12-01,20.200006,20.200006,18.490005,18.490005,1200,7.956462
2003-11-03,20.749996,20.749996,18.749992,19.98,400,8.597624
2003-10-01,20.000004,21.199995,20.000004,20.749996,1000,8.920032
2003-09-02,20.000004,20.999992,20.000004,20.000004,200,8.597624
2003-08-01,26.499994,32.50,19.399996,20.000004,1000,8.597624
2003-07-01,24.299999,27.00,23.999996,26.899998,900,7.709201
2003-06-02,21.849987,25.950005,21.849987,24.299999,3100,6.964074
2003-05-01,21.299995,22.200006,20.699987,21.700001,7700,6.218947
2003-04-01,20.149998,21.199995,20.149998,21.150013,500,6.055551
2003-03-03,19.300005,20.149998,19.300005,20.149998,1300,5.769232
2003-02-03,21.099995,21.199995,18.799999,19.300005,1300,5.525867
2003-01-02,22.900017,22.900017,21.099995,21.099995,1900,6.04123
2002-12-02,21.700001,23.150003,21.150013,22.900017,2200,6.556602
2002-11-01,23.399988,23.399988,21.499998,21.800003,2300,6.241652
