Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.65,3.70,3.59,3.65,405400,3.65
2013-03-01,3.05,3.72,2.97,3.67,531300,3.67
2013-02-01,2.89,3.16,2.79,3.08,584200,3.08
2013-01-02,3.28,3.37,2.89,2.90,238600,2.90
2012-12-03,3.38,3.41,3.14,3.24,274300,3.24
2012-11-01,3.61,3.62,3.25,3.34,237600,3.34
2012-10-01,3.76,4.20,3.46,3.60,284000,3.60
2012-09-04,3.48,3.95,3.45,3.75,170100,3.75
2012-08-01,3.92,3.92,3.16,3.48,193600,3.48
2012-07-02,2.96,3.95,2.84,3.88,267800,3.88
2012-06-01,2.73,3.19,2.47,2.97,327000,2.97
2012-05-01,3.17,3.49,2.75,2.77,274000,2.77
2012-04-02,3.33,3.41,2.77,3.15,307600,3.15
2012-03-01,3.86,3.98,3.24,3.35,510700,3.35
2012-02-01,3.55,4.17,3.52,3.85,439700,3.85
2012-01-03,4.23,4.39,3.31,3.55,617400,3.55
2011-12-01,4.56,4.87,3.68,4.14,402100,4.14
2011-11-01,5.04,5.50,4.22,4.62,348600,4.62
2011-10-03,3.71,5.52,3.56,5.28,530700,5.28
2011-09-01,5.83,5.91,3.67,3.74,456500,3.74
2011-08-01,7.10,7.20,5.15,5.83,639900,5.83
2011-07-01,7.87,8.17,6.90,6.95,321500,6.95
2011-06-01,8.39,8.68,7.52,7.93,339400,7.93
2011-05-02,8.46,8.56,7.57,8.40,411500,8.40
2011-04-01,9.02,9.29,8.13,8.52,445100,8.52
2011-03-01,7.88,9.23,7.48,8.97,825600,8.97
2011-02-01,7.45,7.94,7.37,7.81,364000,7.81
2011-01-03,6.84,7.46,6.62,7.43,420500,7.43
2010-12-01,6.66,6.85,6.21,6.80,307500,6.80
2010-11-01,6.19,6.90,6.19,6.58,351200,6.58
2010-10-01,6.34,6.64,5.95,6.19,340400,6.19
2010-09-01,6.06,6.50,5.97,6.31,352900,6.31
2010-08-02,6.35,6.50,5.65,5.94,324600,5.94
2010-07-01,5.78,6.60,5.54,6.30,414000,6.30
2010-06-01,6.01,7.18,5.78,5.81,537600,5.81
2010-05-03,7.10,7.24,5.31,6.06,563900,6.06
2010-04-01,6.87,7.49,6.75,7.11,482000,7.11
2010-03-01,6.86,8.07,6.55,6.79,880400,6.79
2010-02-01,6.43,7.17,6.07,6.89,488400,6.89
2010-01-04,6.61,7.45,6.27,6.35,657400,6.35
2009-12-01,5.85,6.80,5.53,6.52,688600,6.52
2009-11-02,6.23,6.71,5.40,5.79,900700,5.79
2009-10-01,7.03,7.92,6.07,6.16,1226000,6.16
2009-09-01,5.56,7.24,5.20,7.03,1217800,7.03
2009-08-03,5.25,5.86,4.84,5.66,880700,5.66
2009-07-01,4.26,5.25,3.46,5.20,1062600,5.20
2009-06-01,4.41,5.97,4.16,4.21,1286200,4.21
2009-05-01,2.72,4.42,2.62,4.28,1140300,4.28
2009-04-01,2.40,3.30,2.28,2.67,904100,2.67
2009-03-02,2.27,3.03,1.87,2.43,1500300,2.43
2009-02-02,4.17,4.19,2.10,2.30,1220400,2.30
2009-01-02,4.20,5.20,4.14,4.23,720600,4.171402
2008-12-01,5.06,5.09,3.85,4.21,907100,4.029232
2008-11-03,6.15,6.49,4.10,5.16,928200,4.857542
2008-10-01,9.24,9.24,4.46,6.15,1603500,5.68188
2008-09-02,10.85,11.20,8.68,9.17,814800,8.333047
2008-08-01,10.70,11.37,9.65,11.33,563900,10.177886
2008-07-01,12.80,13.00,10.67,10.80,792200,9.602588
2008-06-02,13.10,13.48,12.32,12.88,677900,11.330233
2008-05-01,11.90,13.53,11.40,13.09,908200,11.408227
2008-04-01,11.22,12.70,11.16,11.90,603100,10.275467
2008-03-03,10.96,11.60,10.35,11.43,659200,9.775252
2008-02-01,9.74,11.24,9.12,10.71,609800,9.065667
2008-01-02,8.85,9.89,8.27,9.62,669000,8.055482
2007-12-03,10.40,10.46,8.68,8.81,1137900,7.286896
2007-11-01,12.60,12.69,10.22,10.49,832000,8.560446
2007-10-01,12.37,12.90,11.95,12.66,699100,10.186156
2007-09-04,11.40,12.45,11.05,12.35,759500,9.816874
2007-08-01,12.69,12.75,10.74,11.41,732000,8.958982
2007-07-02,14.10,14.24,12.20,12.65,859800,9.80725
2007-06-01,12.41,15.11,12.40,14.07,1110700,10.787037
2007-05-01,11.35,13.32,11.27,12.39,841100,9.403358
2007-04-02,10.28,11.50,10.16,11.34,658400,8.514537
2007-03-01,10.60,10.82,9.75,10.27,719600,7.621286
