Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.76,22.780001,22.389999,22.52,2248600,20.347204
2013-03-01,22.60,23.23,22.34,22.76,1521300,20.564047
2013-02-01,21.719999,23.370001,20.84,22.719999,2031100,20.527906
2013-01-02,21.209999,21.74,20.780001,21.41,1900300,19.344299
2012-12-03,19.690001,20.85,19.42,20.790001,1512600,18.784119
2012-11-01,18.17,19.57,17.49,19.42,2161100,17.546301
2012-10-01,19.02,19.860001,17.98,18.059999,1934700,16.317516
2012-09-04,17.34,20.309999,17.139999,18.700001,2439800,16.895769
2012-08-01,17.57,18.139999,16.940001,17.32,2337400,15.648914
2012-07-02,16.469999,17.60,15.63,17.35,3840300,15.676021
2012-06-01,15.50,16.690001,15.26,16.32,3183800,14.745398
2012-05-01,18.16,18.379999,15.51,15.81,3652400,14.284604
2012-04-02,20.459999,20.799999,18.75,18.870001,3380300,16.409678
2012-03-01,20.690001,21.110001,19.32,20.41,2708300,17.748886
2012-02-01,21.34,21.959999,20.43,20.49,2679400,17.818455
2012-01-03,19.66,21.469999,19.139999,20.83,3095000,18.114126
2011-12-01,18.780001,19.120001,17.51,18.83,2588700,16.374891
2011-11-01,17.93,19.17,16.57,18.969999,2910500,16.496637
2011-10-03,16.90,20.540001,15.89,18.809999,3352100,16.357498
2011-09-01,21.309999,21.40,16.32,17.08,4188500,14.853061
2011-08-01,24.219999,24.299999,19.43,21.27,5378600,18.496758
2011-07-01,25.73,26.610001,23.690001,23.940001,3597300,20.818636
2011-06-01,27.08,27.09,24.459999,25.950001,3571500,22.566566
2011-05-02,27.280001,27.469999,25.450001,26.90,3267800,23.392702
2011-04-01,24.26,27.58,23.690001,27.49,2472900,23.337858
2011-03-01,24.549999,24.700001,21.73,24.190001,2511100,20.536297
2011-02-01,23.50,24.73,22.969999,24.51,3016500,20.807962
2011-01-03,22.620001,24.32,21.67,23.67,2321900,20.094837
2010-12-01,19.610001,22.58,19.540001,22.450001,2165800,19.059109
2010-11-01,20.68,21.75,19.34,19.360001,3182500,16.435829
2010-10-01,21.530001,22.91,20.59,20.690001,2305900,17.564943
2010-09-01,19.719999,21.530001,19.700001,21.120001,2303900,17.929995
2010-08-02,20.58,20.870001,18.530001,19.370001,1983900,16.444319
2010-07-01,17.690001,20.43,17.25,20.18,3689700,17.131973
2010-06-01,16.83,19.280001,16.26,17.280001,4287900,14.296635
2010-05-03,19.280001,19.58,16.01,17.01,5978900,14.07325
2010-04-01,22.17,22.610001,18.75,19.16,4129700,15.852055
2010-03-01,20.32,21.959999,20.17,21.84,2231100,18.069357
2010-02-01,18.33,20.280001,17.08,20.26,3345100,16.762142
2010-01-04,19.59,20.809999,17.940001,18.030001,4523200,14.917149
2009-12-01,18.75,19.42,17.610001,19.10,3136400,15.802414
2009-11-02,18.82,20.33,18.120001,18.360001,4412700,15.190174
2009-10-01,19.85,22.01,18.299999,18.530001,3926600,15.330824
2009-09-01,18.65,21.290001,18.219999,20.040001,3659600,16.580126
2009-08-03,18.700001,19.84,17.65,19.17,3161100,15.860329
2009-07-01,16.120001,18.40,14.44,18.280001,4574100,15.123986
2009-06-01,16.90,17.440001,14.84,15.78,4351500,12.712284
2009-05-01,14.18,16.629999,14.11,16.459999,5018000,13.260088
2009-04-01,13.63,15.61,13.63,14.22,4293300,11.455557
2009-03-02,11.49,14.69,10.88,13.94,5446800,11.22999
2009-02-02,12.14,14.65,10.96,12.05,5976000,9.707417
2009-01-02,15.19,15.43,11.62,13.05,4725400,10.513011
2008-12-01,12.10,15.38,11.07,15.01,5372000,12.091976
2008-11-03,12.83,14.16,9.11,12.93,7197000,10.41634
2008-10-01,18.77,19.18,10.00,13.15,10410100,10.59357
2008-09-02,25.25,25.26,17.57,19.40,8359500,15.628536
2008-08-01,26.57,26.57,22.91,24.57,4263900,19.793461
2008-07-01,27.540001,28.74,25.82,26.219999,5274000,21.122692
2008-06-02,32.09,32.77,28.139999,28.32,5578600,22.440695
2008-05-01,30.440001,33.389999,30.200001,32.48,3808400,25.737068
2008-04-01,26.99,30.83,26.24,30.67,4338800,24.30283
2008-03-03,25.040001,27.02,23.690001,26.92,5097300,21.331339
2008-02-01,25.440001,26.209999,22.459999,25.040001,9120400,19.841633
2008-01-02,29.00,29.110001,21.690001,25.02,8053700,19.825785
2007-12-03,29.030001,30.200001,26.51,28.799999,4113100,22.821045
2007-11-01,30.110001,32.080002,25.84,29.379999,5430700,23.280636
2007-10-01,26.620001,30.33,26.450001,30.219999,3479500,23.946251
2007-09-04,24.17,26.48,22.57,26.23,3046300,20.784584
2007-08-01,23.93,24.879999,20.42,24.66,3228000,19.540522
2007-07-02,23.059999,25.040001,22.370001,24.07,3674000,19.073006
2007-06-01,21.719999,22.790001,20.780001,22.60,2170600,17.908182
2007-05-01,20.030001,21.549999,19.459999,21.469999,2073900,17.012772
2007-04-02,17.309999,20.450001,17.16,19.959999,2824800,15.662213
2007-03-01,16.389999,17.799999,15.94,17.18,2531100,13.480803
2007-02-01,18.01,19.25,16.09,16.709999,2732600,13.112003
2007-01-03,18.120001,18.139999,16.84,17.809999,2391200,13.975152
2006-12-01,16.51,18.030001,16.16,17.98,2407800,14.108547
2006-11-01,14.93,16.379999,14.49,16.280001,2023300,12.774592
2006-10-02,13.07,15.15,13.02,14.92,2512200,11.707427
2006-09-01,13.35,13.71,12.97,13.18,2333200,10.342084
2006-08-01,12.79,13.70,12.60,13.34,2946700,10.467632
2006-07-03,12.96,13.06,11.29,12.93,2342200,10.145913
2006-06-01,12.40,13.00,10.11,12.96,2754200,10.169454
2006-05-01,14.48,14.85,11.86,12.62,2668900,9.902662
2006-04-03,12.79,14.47,12.60,14.22,2077100,11.08413
2006-03-01,12.39,12.68,11.40,12.55,1782100,9.782408
2006-02-01,10.91,12.58,10.01,12.05,2612400,9.39267
2006-01-03,10.09,11.22,10.04,10.92,2424300,8.511864
2005-12-01,8.87,9.85,8.87,9.72,2296500,7.576494
2005-11-01,7.71,8.91,7.63,8.75,2608100,6.820404
2005-10-03,7.38,7.80,6.92,7.79,1000300,6.072108
2005-09-01,7.43,7.73,7.11,7.36,1058800,5.736934
2005-08-01,6.96,7.34,6.93,7.29,902200,5.68237
2005-07-01,6.42,6.92,6.15,6.81,1291600,5.308222
2005-06-01,6.57,7.10,6.47,6.47,2036900,5.043201
2005-05-02,6.29,6.75,6.28,6.55,1254100,5.105559
2005-04-01,6.23,6.57,6.02,6.30,1413900,4.910691
2005-03-01,6.14,6.55,6.10,6.20,695600,4.832743
2005-02-01,5.58,6.20,5.56,6.09,385500,4.747001
2005-01-03,5.72,5.92,5.42,5.51,352700,4.294906
2004-12-01,6.11,6.19,5.33,5.66,615900,4.411827
2004-11-01,5.74,6.32,5.56,6.18,277600,4.817153
2004-10-01,6.25,6.73,5.62,5.79,329300,4.513158
2004-09-01,5.79,6.22,5.70,6.12,225500,4.770385
