Date	cenmrs1	cenmrs13	cenmrs14	cenmrs2	cenmrs3	cenpzb44000
1992-01	146913	164083	130605	113435	33478	241994
1992-02	147270	164260	130443	113453	33817	243495
1992-03	146831	163747	130411	113495	33336	244473
1992-04	148082	164759	130983	114306	33776	248034
1992-05	149015	165617	131260	114658	34357	248444
1992-06	149821	166098	131317	115040	34781	250583
1992-07	150809	167305	132106	115610	35199	255717
1992-08	151064	167797	133212	116479	34585	254216
1992-09	152595	169407	133517	116705	35890	254813
1992-10	153577	170681	134709	117605	35972	255150
1992-11	153605	171025	135097	117677	35928	256543
1992-12	155504	172995	136723	119232	36272	260276
1993-01	157525	175078	137457	119904	37621	261988
1993-02	156292	173770	137047	119569	36723	264827
1993-03	154774	172328	136373	118819	35955	268098
1993-04	158996	176766	138245	120475	38521	268447
1993-05	160624	178445	139439	121618	39006	269198
1993-06	160171	178201	139309	121279	38892	270109
1993-07	162832	180759	140469	122542	40290	271312
1993-08	162491	180692	140188	121987	40504	270442
1993-09	163285	181800	141597	123082	40203	272222
1993-10	164711	182910	142053	123854	40857	273590
1993-11	166593	184746	142669	124516	42077	276082
1993-12	168101	186339	143543	125305	42796	278444
1994-01	167504	185128	142468	124844	42660	277390
1994-02	169652	188077	144392	125967	43685	279427
1994-03	172775	191588	147113	128300	44475	280350
1994-04	173099	191632	146560	128027	45072	281782
1994-05	172340	190940	146842	128242	44098	286929
1994-06	174307	193196	148655	129766	44541	291429
1994-07	174801	193763	149286	130324	44477	291341
1994-08	177289	196157	150925	132057	45232	296404
1994-09	178776	197754	151440	132462	46314	300137
1994-10	180569	199579	152538	133528	47041	300421
1994-11	180695	199723	152520	133492	47203	302326
1994-12	181492	200670	153729	134551	46941	304519
1995-01	182423	201583	154359	135199	47224	308212
1995-02	179472	198383	152481	133570	45902	310420
1995-03	180996	200230	153549	134315	46681	313054
1995-04	181702	201048	153992	134646	47056	315706
1995-05	183543	202993	155275	135825	47718	317615
1995-06	186088	205507	155855	136436	49652	318295
1995-07	185470	204959	156127	136638	48832	317479
1995-08	186814	206529	156781	137066	49748	320047
1995-09	187338	206978	157790	138150	49188	320176
1995-10	186546	206157	156886	137275	49271	322485
1995-11	189052	208661	158798	139189	49863	325232
1995-12	190809	210434	160271	140646	50163	322216
1996-01	189167	208731	158382	138818	50349	323208
1996-02	192269	212011	159723	139981	52288	323902
