Date	cenxmbal	cenxmgbal	cenxmsbal	totalm	totalx
1992-01	-2026	-6952	4926	52277	50251
1992-02	-831	-5593	4762	52513	51682
1992-03	-2641	-7355	4714	52935	50294
1992-04	-3109	-8284	5175	53411	50302
1992-05	-3919	-8720	4801	53963	50044
1992-06	-2824	-7538	4714	54551	51727
1992-07	-2781	-7433	4652	55313	52533
1992-08	-4455	-9317	4862	55395	50940
1992-09	-3530	-8451	4921	55515	51984
1992-10	-3520	-8354	4834	56556	53035
1992-11	-3968	-8714	4746	56214	52246
1992-12	-5603	-10185	4582	57446	51843
1993-01	-3871	-9001	5130	56439	52568
1993-02	-3596	-9167	5571	56076	52480
1993-03	-6777	-12064	5287	59813	53035
1993-04	-6445	-11674	5229	59584	53139
1993-05	-4369	-9682	5313	58598	54229
1993-06	-6929	-12187	5258	59275	52346
1993-07	-6382	-11681	5299	59200	52818
1993-08	-5581	-11020	5439	58805	53224
1993-09	-7031	-12080	5049	60679	53648
1993-10	-6594	-11775	5181	62069	55476
1993-11	-7016	-11447	4431	61361	54345
1993-12	-5719	-10673	4954	61271	55552
1994-01	-6207	-11043	4836	61365	55159
1994-02	-9245	-14038	4793	62974	53729
1994-03	-6466	-12390	5924	64772	58307
1994-04	-7887	-13408	5521	64323	56436
1994-05	-7728	-13301	5573	65070	57342
1994-06	-8380	-14241	5861	66831	58451
1994-07	-8739	-14633	5894	67230	58492
1994-08	-8303	-13960	5657	68710	60407
1994-09	-8310	-13801	5491	69026	60715
1994-10	-9158	-14788	5630	69019	59861
1994-11	-9615	-15643	6028	71147	61532
1994-12	-8456	-14586	6130	71281	62825
1995-01	-9324	-15562	6238	72442	63118
1995-02	-8817	-14487	5670	71894	63077
1995-03	-9708	-15547	5839	74057	64349
1995-04	-9609	-15901	6292	74682	65074
1995-05	-9090	-15420	6330	74845	65755
1995-06	-10623	-16068	5445	75478	64855
1995-07	-7688	-14448	6760	74247	66560
1995-08	-6704	-13515	6811	74173	67469
1995-09	-5924	-13187	7263	74867	68943
1995-10	-6114	-12861	6747	74219	68105
1995-11	-6514	-13597	7083	74523	68009
1995-12	-6271	-13577	7306	75342	69071
1996-01	-8465	-15007	6542	76764	68299
1996-02	-7319	-13764	6445	77217	69899
1996-03	-7756	-15122	7366	77553	69797
1996-04	-8744	-15597	6853	78870	70126
1996-05	-9259	-16668	7409	80288	71029
1996-06	-7460	-14944	7484	78516	71056
1996-07	-10132	-16397	6265	79536	69404
1996-08	-10357	-17097	6740	80919	70563
1996-09	-10195	-17018	6823	80748	70553
1996-10	-6635	-15070	8435	80404	73769
1996-11	-7268	-15814	8546	81531	74263
1996-12	-10475	-18502	8027	83317	72842
1997-01	-11269	-18455	7186	84179	72910
1997-02	-9776	-17036	7260	85001	75225
1997-03	-8383	-16048	7665	85433	77050
1997-04	-8086	-15778	7692	85855	77769
1997-05	-8394	-16248	7854	86277	77883
1997-06	-7154	-15021	7867	86043	78889
1997-07	-7033	-14718	7685	87132	80099
1997-08	-8743	-16505	7762	87365	78622
1997-09	-9269	-16597	7328	88556	79287
1997-10	-9089	-16820	7731	88472	79383
1997-11	-9786	-16854	7068	88086	78300
1997-12	-11289	-18350	7061	90327	79038
1998-01	-10776	-18016	7240	89784	79008
1998-02	-11564	-18302	6738	89495	77931
1998-03	-12880	-20288	7408	91692	78812
1998-04	-13940	-21488	7548	91566	77626
1998-05	-14202	-21493	7291	91349	77147
1998-06	-13247	-19957	6710	90208	76961
1998-07	-13949	-20316	6367	90098	76149
1998-08	-16028	-22389	6361	91540	75512
1998-09	-14820	-21096	6276	91999	77179
1998-10	-14815	-21414	6599	94166	79351
1998-11	-15173	-21752	6579	94290	79117
1998-12	-14745	-21709	6964	93127	78382
1999-01	-16157	-22397	6240	93992	77835
1999-02	-18900	-25177	6277	96336	77436
1999-03	-18250	-24464	6213	96494	78243
1999-04	-18650	-24574	5925	97366	78716
1999-05	-20730	-26721	5991	99512	78782
1999-06	-23716	-29778	6062	102786	79070
1999-07	-24134	-30180	6047	104153	80019
1999-08	-23662	-29698	6036	105170	81508
1999-09	-23489	-29718	6229	106207	82718
1999-10	-23874	-30226	6351	107284	83410
1999-11	-25617	-31846	6229	109903	84286
1999-12	-26578	-32595	6017	111561	84983
2000-01	-27471	-33379	5908	113027	85556
2000-02	-30395	-36231	5837	116450	86055
