Date	lns11000000	lns12000000	lns12300000	lns13000000	lns14000000
1948-01	600950	580610	56.60	20340	3.40
1948-02	605240	581960	56.70	23280	3.80
1948-03	600700	576710	56.10	23990	4.00
1948-04	606770	582910	56.70	23860	3.90
1948-05	599720	578540	56.20	21180	3.50
1948-06	609570	587430	57.00	22140	3.60
1948-07	611810	589680	57.10	22130	3.60
1948-08	608060	584560	56.60	23500	3.90
1948-09	608150	585130	56.60	23020	3.80
1948-10	606460	583870	56.50	22590	3.70
1948-11	607020	584170	56.50	22850	3.80
1948-12	611690	587400	56.80	24290	4.00
1949-01	607710	581750	56.20	25960	4.30
1949-02	610570	582080	56.20	28490	4.70
1949-03	610730	580430	56.00	30300	5.00
1949-04	610070	577470	55.70	32600	5.30
1949-05	612590	575520	55.40	37070	6.10
1949-06	609480	571720	55.00	37760	6.20
1949-07	613010	571900	55.00	41110	6.70
1949-08	615900	573970	55.10	41930	6.80
1949-09	616330	575840	55.30	40490	6.60
1949-10	621850	572690	54.90	49160	7.90
1949-11	620050	580090	55.60	39960	6.40
1949-12	619080	578450	55.30	40630	6.60
1950-01	616610	576350	55.10	40260	6.50
1950-02	616870	577510	55.10	39360	6.40
1950-03	616040	577280	55.10	38760	6.30
1950-04	621580	585830	55.80	35750	5.80
1950-05	620830	586490	55.80	34340	5.50
1950-06	624190	590520	56.20	33670	5.40
1950-07	621210	590010	56.10	31200	5.00
1950-08	625960	597970	56.80	27990	4.50
1950-09	623490	595750	56.60	27740	4.40
1950-10	624280	598030	56.90	26250	4.20
1950-11	622860	596970	56.90	25890	4.20
1950-12	620680	594290	56.70	26390	4.30
1951-01	619410	596360	56.90	23050	3.70
1951-02	617780	596610	57.00	21170	3.40
1951-03	625260	604010	57.70	21250	3.40
1951-04	618080	598890	57.30	19190	3.10
1951-05	620440	601880	57.60	18560	3.00
1951-06	616150	596200	57.10	19950	3.20
1951-07	621060	601560	57.60	19500	3.10
1951-08	619270	599940	57.40	19330	3.10
1951-09	617800	597130	57.10	20670	3.30
1951-10	622040	600100	57.30	21940	3.50
1951-11	620140	598360	57.10	21780	3.50
1951-12	624570	604970	57.70	19600	3.10
1952-01	624320	604600	57.70	19720	3.20
1952-02	624190	604620	57.70	19570	3.10
1952-03	617210	599080	57.10	18130	2.90
1952-04	617200	599090	57.10	18110	2.90
1952-05	620580	601950	57.30	18630	3.00
1952-06	621030	602190	57.30	18840	3.00
1952-07	619620	599710	57.00	19910	3.20
1952-08	618770	597900	56.80	20870	3.40
1952-09	624570	605210	57.40	19360	3.10
1952-10	619710	601320	56.90	18390	3.00
1952-11	624910	607480	57.50	17430	2.80
1952-12	626210	609540	57.60	16670	2.70
1953-01	634390	616000	57.80	18390	2.90
1953-02	635200	618840	58.00	16360	2.60
1953-03	636570	620100	58.10	16470	2.60
1953-04	631670	614440	57.50	17230	2.70
1953-05	626150	610190	57.10	15960	2.50
1953-06	630630	614560	57.40	16070	2.50
1953-07	630570	613970	57.40	16600	2.60
1953-08	628160	611510	57.10	16650	2.70
1953-09	627270	609060	56.80	18210	2.90
1953-10	628670	608930	56.70	19740	3.10
1953-11	629490	607380	56.50	22110	3.50
1953-12	627950	599770	55.70	28180	4.50
1954-01	631010	600240	55.70	30770	4.90
1954-02	639940	606630	56.20	33310	5.20
1954-03	637930	601860	55.70	36070	5.70
1954-04	639340	601850	55.70	37490	5.90
1954-05	636750	599080	55.40	37670	5.90
1954-06	633430	597920	55.20	35510	5.60
1954-07	633020	596430	55.00	36590	5.80
1954-08	637070	598530	55.20	38540	6.00
1954-09	642090	602820	55.50	39270	6.10
1954-10	639360	602700	55.50	36660	5.70
1954-11	637590	603570	55.50	34020	5.30
1954-12	633120	601160	55.20	31960	5.00
1955-01	639100	607530	55.70	31570	4.90
1955-02	636960	607270	55.70	29690	4.70
1955-03	638820	609640	55.80	29180	4.60
1955-04	645640	615150	56.20	30490	4.70
1955-05	643810	616340	56.30	27470	4.30
1955-06	644820	617810	56.30	27010	4.20
1955-07	651450	625130	56.90	26320	4.00
1955-08	655810	627970	57.10	27840	4.20
1955-09	656280	629500	57.20	26780	4.10
1955-10	658210	629910	57.20	28300	4.30
1955-11	660370	632570	57.40	27800	4.20
1955-12	664450	636840	57.70	27610	4.20
1956-01	664190	637530	57.80	26660	4.00
1956-02	661240	635180	57.50	26060	3.90
1956-03	661750	634110	57.30	27640	4.20
1956-04	662640	636140	57.50	26500	4.00
1956-05	667220	638610	57.60	28610	4.30
1956-06	667020	638200	57.50	28820	4.30
1956-07	667520	638000	57.50	29520	4.40
1956-08	666730	639720	57.60	27010	4.10
1956-09	667140	640790	57.60	26350	3.90
1956-10	665460	639750	57.50	25710	3.90
1956-11	666570	637960	57.30	28610	4.30
1956-12	667000	639100	57.30	27900	4.20
1957-01	664280	636320	57.00	27960	4.20
1957-02	668790	642570	57.50	26220	3.90
1957-03	669130	644040	57.60	25090	3.70
