Date,NAV
1997-07-31,13.18
1997-08-29,12.56
1997-09-30,13.1
1997-10-31,12.38
1997-11-28,12.37
1997-12-31,11.36
1998-01-30,11.54
1998-02-27,12.25
1998-03-31,12.75
1998-04-30,12.72
1998-05-29,12.69
1998-06-30,12.53
1998-07-31,12.47
1998-08-31,11.1
1998-09-30,11.27
1998-10-30,12.01
1998-11-30,12.5
1998-12-31,12.55
1999-01-29,12.55
1999-02-26,12.17
1999-03-31,12.55
1999-04-30,13.41
1999-05-28,12.93
1999-06-30,13.4
1999-07-30,13.34
1999-08-31,13.13
1999-09-30,12.76
1999-10-29,12.93
1999-11-30,13.26
1999-12-31,12.78
2000-01-31,11.9
2000-02-29,11.67
2000-03-31,12.07
2000-04-28,11.94
2000-05-31,12.03
2000-06-30,12.44
2000-07-31,12.15
2000-08-31,12.37
2000-09-29,12
2000-10-31,12.13
2000-11-30,12.03
2000-12-29,11.39
2001-01-31,11.63
2001-02-28,10.95
2001-03-30,10.31
2001-04-30,10.93
2001-05-31,10.84
2001-06-29,10.61
2001-07-31,10.49
2001-08-31,10.23
2001-09-28,9.43
2001-10-31,9.57
2001-11-30,10.17
2001-12-31,9.88
2002-01-31,9.66
2002-02-28,9.66
2002-03-28,10.04
2002-04-30,9.86
2002-05-31,9.94
2002-06-28,9.37
2002-07-31,8.54
2002-08-30,8.62
2002-09-30,7.53
2002-10-31,8.19
2002-11-29,8.7
2002-12-31,8.08
2003-01-31,7.78
2003-02-28,7.61
2003-03-31,7.52
2003-04-30,8.26
2003-05-30,8.73
2003-06-30,8.89
2003-07-31,9.02
2003-08-29,9.12
2003-09-30,9.18
2003-10-31,9.6
2003-11-28,9.77
2003-12-31,10.31
2004-01-30,10.35
2004-02-27,10.49
2004-03-31,10.39
2004-04-30,10.23693
2004-05-28,10.24661
2004-06-30,10.51005
2004-07-30,10.15836
2004-08-31,10.28434
2004-09-30,10.46005
2004-10-29,10.79749
2004-11-30,11.26416
2004-12-31,11.7501
2005-01-31,11.49048
2005-02-28,11.7283
2005-03-31,11.57
2005-04-29,11.34
2005-05-31,11.47
2005-06-30,11.63
2005-07-29,11.95
2005-08-31,12.02
2005-09-30,12.22
2005-10-31,11.99
2005-11-30,12.22
2005-12-30,12.48
2006-01-31,12.88
2006-02-28,12.89
2006-03-31,13.13
2006-04-28,13.5
2006-05-31,13.01
2006-06-30,12.99
2006-07-31,13.06
2006-08-31,13.32
2006-09-29,13.59
2006-10-31,14.08
2006-11-30,14.32
2006-12-29,14.54
2007-01-31,14.64
2007-02-28,14.47
2007-03-30,14.55
2007-04-30,15.15
2007-05-31,15.62
2007-06-29,15.47
2007-07-31,14.98
2007-08-31,15.06
2007-09-28,15.65
2007-10-31,16.15
2007-11-30,15.44
2007-12-31,15.05
2008-01-31,14.11
2008-02-29,13.88
2008-03-31,13.93
2008-04-30,14.6
2008-05-30,14.79
2008-06-30,13.54
2008-07-31,13.18
2008-08-29,13.13
2008-09-30,11.56
2008-10-31,9.19
2008-11-28,8.49
2008-12-31,8.26
2009-01-30,7.6
2009-02-27,6.84
2009-03-31,7.52
2009-04-30,8.56
2009-05-29,9.5
2009-06-30,9.46
2009-07-31,10.35
2009-08-31,10.7
2009-09-30,11.36
2009-10-30,11.06
2009-11-30,11.59
2009-12-31,11.71
2010-01-29,11.2
2010-02-26,11.39
2010-03-31,12.08
2010-04-30,12.08
2010-05-28,10.83
2010-06-30,10.36
2010-07-30,11.4
2010-08-31,10.82
2010-09-30,11.92
2010-10-29,12.37
2010-11-30,12
2010-12-31,12.56
2011-01-31,12.82
2011-02-28,13.15
2011-03-31,13.01
2011-04-29,13.47
2011-05-31,13.11
2011-06-30,12.67
2011-07-29,12.58
2011-08-31,11.36
2011-09-30,10.03
2011-10-31,11.45
2011-11-30,11.22
2011-12-30,11.03
2012-01-31,11.88
2012-02-29,12.6
2012-03-30,12.79
2012-04-30,12.47
2012-05-31,11.25
2012-06-29,11.73
2012-07-31,11.67
2012-08-31,12.07
2012-09-28,12.43
2012-10-31,12.49
2012-11-30,12.22
2012-12-31,12.59
2013-01-31,13.3
2013-02-28,13.21
2013-03-28,13.43
2013-04-30,13.82
2013-05-31,13.83
2013-06-28,13.44
2013-07-31,14.23
2013-08-30,13.9
2013-09-30,14.88
2013-10-31,15.38
2013-11-29,15.75
2013-12-31,15.73
2014-01-31,15.21
2014-02-28,15.97
2014-03-31,15.86
2014-04-30,15.84
2014-05-30,16.09
2014-06-30,16.55
2014-07-31,16.2
2014-08-29,16.51
2014-09-30,15.99
2014-10-31,16.03
2014-11-28,16.22
2014-12-31,15.5
2015-01-30,15.11
2015-02-27,15.97
2015-03-31,15.63
2015-04-30,16.12
2015-05-29,16.15
2015-06-30,15.68
2015-07-31,15.65
2015-08-31,14.53
2015-09-30,13.84
2015-10-30,14.98
2015-11-30,14.94
2015-12-31,14.15
2016-01-29,13.05
2016-02-01,13.02
