Date,NAV
1998-05-29,29.94
1998-06-30,30.97
1998-07-31,30.4
1998-08-31,25.98
1998-09-30,27.92
1998-10-30,30.3
1998-11-30,31.85
1998-12-31,32.46
1999-01-29,31.89
1999-02-26,31.01
1999-03-31,31.78
1999-04-30,33.44
1999-05-28,32.74
1999-06-30,34.75
1999-07-30,33.28
1999-08-31,32.31
1999-09-30,30.83
1999-10-29,32.71
1999-11-30,32.91
1999-12-31,30.12
2000-01-31,29.03
2000-02-29,26.88
2000-03-31,29.58
2000-04-28,30.3
2000-05-31,31.17
2000-06-30,30.96
2000-07-31,30.11
2000-08-31,31.48
2000-09-29,31.04
2000-10-31,30.8
2000-11-30,29.07
2000-12-29,20.81
2001-01-31,21.12
2001-02-28,19.43
2001-03-30,18.26
2001-04-30,19.34
2001-05-31,19.65
2001-06-29,19.11
2001-07-31,19.01
2001-08-31,17.98
2001-09-28,16.41
2001-10-31,16.75
2001-11-30,17.98
2001-12-31,18.23
2002-01-31,18.45
2002-02-28,18.32
2002-03-28,18.97
2002-04-30,18.31
2002-05-31,18.14
2002-06-28,17.11
2002-07-31,15.6
2002-08-30,15.74
2002-09-30,13.86
2002-10-31,15.06
2002-11-29,15.93
2002-12-31,14.97
2003-01-31,14.57
2003-02-28,14.42
2003-03-31,14.43
2003-04-30,15.65
2003-05-30,16.52
2003-06-30,16.74
2003-07-31,16.95
2003-08-29,17.28
2003-09-30,17.06
2003-10-31,18.08
2003-11-28,18.29
2003-12-31,18.87
2004-01-30,19.25
2004-02-27,19.67
2004-03-31,19.28
2004-04-30,18.67
2004-05-28,18.89
2004-06-30,19.24
2004-07-30,18.48
2004-08-31,18.35
2004-09-30,18.66
2004-10-29,18.96
2004-11-30,19.94
2004-12-31,20.43
2005-01-31,20.1
2005-02-28,20.59
2005-03-31,20.29
2005-04-29,19.58
2005-05-31,20.32
2005-06-30,20.42
2005-07-29,21.26
2005-08-31,21.09
2005-09-30,21.33
2005-10-31,20.94
2005-11-30,21.76
2005-12-30,18.97
2006-01-31,19.53
2006-02-28,19.51
2006-03-31,19.79
2006-04-28,20.06
2006-05-31,19.32
2006-06-30,19.33
2006-07-31,19.21
2006-08-31,19.58
2006-09-29,20.01
2006-10-31,20.75
2006-11-30,21.1
2006-12-29,19.13
2007-01-31,19.55
2007-02-28,19.08
2007-03-30,19.35
2007-04-30,20.18
2007-05-31,20.85
2007-06-29,20.53
2007-07-31,19.92
2007-08-31,20.34
2007-09-28,21.04
2007-10-31,21.4
2007-11-30,20.57
2007-12-31,17.18
2008-01-31,16
2008-02-29,15.53
2008-03-31,15.43
2008-04-30,16.31
2008-05-30,16.64
2008-06-30,15.23
2008-07-31,14.91
2008-08-29,15.09
2008-09-30,13.35
2008-10-31,10.69
2008-11-28,9.85
2008-12-31,9.87
2009-01-30,9.03
2009-02-27,8.05
2009-03-31,8.78
2009-04-30,9.69
2009-05-29,10.28
2009-06-30,10.31
2009-07-31,11.11
2009-08-31,11.42
2009-09-30,11.74
2009-10-30,11.51
2009-11-30,12.05
2009-12-31,12.28
2010-01-29,11.8
2010-02-26,12.2
2010-03-31,12.95
2010-04-30,13.08
2010-05-28,11.97
2010-06-30,11.27
2010-07-30,12.05
2010-08-31,11.5
2010-09-30,12.55
2010-10-29,12.93
2010-11-30,12.92
2010-12-31,13.74
2011-01-31,14.06
2011-02-28,14.52
2011-03-31,14.56
2011-04-29,15.03
2011-05-31,14.84
2011-06-30,14.57
2011-07-29,14.08
2011-08-31,13.28
2011-09-30,12.23
2011-10-31,13.7
2011-11-30,13.71
2011-12-30,13.63
2012-01-31,14.28
2012-02-29,14.86
2012-03-30,15.16
2012-04-30,15.01
2012-05-31,13.94
2012-06-29,14.35
2012-07-31,14.51
2012-08-31,14.9
2012-09-28,15.28
2012-10-31,15.13
2012-11-30,15.27
2012-12-31,15.39
2013-01-31,16.38
2013-02-28,16.47
2013-03-28,16.97
2013-04-30,17.19
2013-05-31,17.81
2013-06-28,17.42
2013-07-31,18.32
2013-08-30,17.7
2013-09-30,18.27
2013-10-31,19
2013-11-29,19.56
2013-12-31,19.83
2014-01-31,19.16
2014-02-28,19.98
2014-03-31,20.16
2014-04-30,20.47
2014-05-30,21.02
2014-06-30,21.35
2014-07-31,21.04
2014-08-29,21.97
2014-09-30,21.45
2014-10-31,21.77
2014-11-28,22.23
2014-12-31,21.99
2015-01-30,21.46
2015-02-27,22.8
2015-03-31,22.4
2015-04-30,22.51
2015-05-29,22.99
2015-06-30,22.63
2015-07-31,23
2015-08-31,21.49
2015-09-30,20.75
2015-10-30,22.31
2015-11-30,22.43
2015-12-31,21.39
2016-01-29,20.2
2016-02-02,19.79
