Date,NAV
2007-12-31,9.8
2008-01-31,9.27
2008-02-29,9.1
2008-03-31,9.19
2008-04-30,9.49
2008-05-30,9.91
2008-06-30,9.07
2008-07-31,9.34
2008-08-29,9.75
2008-09-30,9.15
2008-10-31,7.15
2008-11-28,6.3
2008-12-31,6.58
2009-01-30,5.66
2009-02-27,4.89
2009-03-31,5.41
2009-04-30,6.27
2009-05-29,6.64
2009-06-30,6.66
2009-07-31,7.43
2009-08-31,7.8
2009-09-30,8.21
2009-10-30,7.64
2009-11-30,7.85
2009-12-31,8.39
2010-01-29,8.18
2010-02-26,8.65
2010-03-31,9.33
2010-04-30,9.96
2010-05-28,9.08
2010-06-30,8.23
2010-07-30,8.9
2010-08-31,8.19
2010-09-30,9.17
2010-10-29,9.5
2010-11-30,9.83
2010-12-31,10.68
2011-01-31,10.72
2011-02-28,11.29
2011-03-31,11.49
2011-04-29,11.68
2011-05-31,11.38
2011-06-30,11.22
2011-07-29,10.79
2011-08-31,9.76
2011-09-30,8.57
2011-10-31,9.93
2011-11-30,9.9
2011-12-30,9.73
2012-01-31,10.41
2012-02-29,10.81
2012-03-30,11.01
2012-04-30,10.78
2012-05-31,9.94
2012-06-29,10.34
2012-07-31,10.23
2012-08-31,10.71
2012-09-28,11.1
2012-10-31,11.02
2012-11-30,11.19
2012-12-31,11.27
2013-01-31,12.03
2013-02-28,12.18
2013-03-28,12.78
2013-04-30,12.63
2013-05-31,13.28
2013-06-28,13.21
2013-07-31,14.14
2013-08-30,13.57
2013-09-30,14.32
2013-10-31,14.86
2013-11-29,15.54
2013-12-31,15.13
2014-01-31,14.43
2014-02-28,15.19
2014-03-31,15.46
2014-04-30,15.13
2014-05-30,15.18
2014-06-30,15.81
2014-07-31,14.97
2014-08-29,15.7
2014-09-30,14.68
2014-10-31,15.24
2014-11-28,15.11
2014-12-31,13.4
2015-01-30,12.75
2015-02-27,13.58
2015-03-31,13.78
2015-04-30,13.66
2015-05-29,13.82
2015-06-30,13.78
2015-07-31,13.38
2015-08-31,12.87
2015-09-30,12.3
2015-10-30,13.01
2015-11-30,13.34
2015-12-31,11.41
2016-01-29,10.65
2016-02-01,10.58
