Date,cencppprivnonres,cencppprivres,cencpppub,cencpptot,cenhfs-supplymsa,cenhs-usmsa,cennewhsavgm,cennewhsmedm,Date,NAV
2007-12,401961,410303,296694,1108958,9.6,619,284400,227700,2007-12,10
2007-13,401961,410303,296694,1108958,9.6,619,284400,227700,2007-12,10.06
2007-14,401961,410303,296694,1108958,9.6,619,284400,227700,2007-12,10.07
2007-15,401961,410303,296694,1108958,9.6,619,284400,227700,2007-12,9.84
2007-16,401961,410303,296694,1108958,9.6,619,284400,227700,2007-12,9.83
2007-17,401961,410303,296694,1108958,9.6,619,284400,227700,2007-12,9.8
2008-01,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.8
2008-02,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.64
2008-03,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.54
2008-04,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.27
2008-05,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.31
2008-06,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.07
2008-07,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.16
2008-08,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.25
2008-09,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.08
2008-10,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.16
2008-11,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,8.99
2008-12,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.04
2008-13,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,8.82
2008-14,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,8.73
2008-15,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,8.73
2008-16,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,8.97
2008-17,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,8.98
2008-18,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,8.9
2008-19,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.08
2008-20,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.13
2008-21,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.05
2008-22,414045,397751,294251,1106047,9.3,627,284600,232400,2008-01,9.27
2008-02,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.48
2008-03,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.39
2008-04,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.17
2008-05,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.1
2008-06,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.22
2008-07,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.18
2008-08,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.2
2008-09,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.23
2008-10,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.39
2008-11,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.23
2008-12,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.2
2008-13,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.2
2008-14,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.34
2008-15,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.2
2008-16,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.21
2008-17,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.39
2008-18,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.47
2008-19,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.43
2008-20,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.34
2008-21,410638,382369,299323,1092331,9.7,593,301200,245300,2008-02,9.1
2008-03,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.09
2008-04,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.05
2008-05,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.09
2008-06,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,8.9
2008-07,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,8.87
2008-08,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,8.73
2008-09,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.03
2008-10,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,8.94
2008-11,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.09
2008-12,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,8.89
2008-13,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,8.77
2008-14,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.1
2008-15,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,8.9
2008-16,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.07
2008-17,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.26
2008-18,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.36
2008-19,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.28
2008-20,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.18
2008-21,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.11
2008-22,405798,382574,306539,1094910,10.5,535,287600,229300,2008-03,9.19
2008-04,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.46
2008-05,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.48
2008-06,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.46
2008-07,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.47
2008-08,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.48
2008-09,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.45
2008-10,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.32
2008-11,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.38
2008-12,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.16
2008-13,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.14
2008-14,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.22
2008-15,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.48
