Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.61,12.61,12.61,12.61,000,9.503231
2013-03-01,12.19,12.84,12.19,12.78,000,9.631348
2013-02-01,12.15,12.54,11.95,12.18,000,9.179172
2013-01-02,11.58,12.08,11.58,12.03,000,9.066128
2012-12-03,11.15,11.56,11.03,11.27,000,8.493372
2012-11-01,11.20,11.24,10.46,11.19,000,8.22809
2012-10-01,11.15,11.33,10.96,11.02,000,8.103088
2012-09-04,10.81,11.54,10.81,11.10,000,8.161913
2012-08-01,10.07,10.84,10.04,10.71,000,7.875143
2012-07-02,10.44,10.58,9.91,10.23,000,7.522195
2012-06-01,9.62,10.34,9.58,10.34,000,7.603079
2012-05-01,10.79,10.82,9.77,9.94,000,7.308956
2012-04-02,11.12,11.12,10.39,10.78,000,7.926614
2012-03-01,10.88,11.23,10.45,11.01,000,8.095736
2012-02-01,10.64,11.06,10.64,10.81,000,7.948674
2012-01-03,9.91,10.55,9.88,10.41,000,7.654551
2011-12-01,9.83,10.06,9.23,9.73,000,7.154541
2011-11-01,9.55,10.18,8.99,9.90,000,7.072628
2011-10-03,8.13,10.29,8.13,9.93,000,7.09406
2011-09-01,9.52,9.59,8.55,8.57,000,6.122467
2011-08-01,10.73,10.73,8.71,9.76,000,6.972611
2011-07-01,11.41,11.60,10.79,10.79,000,7.70845
2011-06-01,11.16,11.22,10.58,11.22,000,8.015645
2011-05-02,11.56,11.56,10.93,11.38,000,8.12995
2011-04-01,11.56,11.68,11.18,11.68,000,8.344273
2011-03-01,11.08,11.49,10.72,11.49,000,8.208534
2011-02-01,10.97,11.47,10.92,11.29,000,8.065653
2011-01-03,10.88,10.99,10.61,10.72,000,7.658442
2010-12-01,10.03,10.74,10.03,10.68,000,7.629865
2010-11-01,9.46,10.00,9.46,9.83,000,7.022619
2010-10-01,9.20,9.64,9.07,9.50,000,6.786865
2010-09-01,8.52,9.18,8.52,9.17,000,6.551111
2010-08-02,9.05,9.05,8.13,8.19,000,5.850992
2010-07-01,8.16,9.03,7.98,8.90,000,6.358221
2010-06-01,8.75,9.10,8.23,8.23,000,5.879568
2010-05-03,10.13,10.13,8.75,9.08,000,6.486814
2010-04-01,9.43,10.35,9.43,9.96,000,7.115492
2010-03-01,8.83,9.46,8.83,9.33,000,6.665416
2010-02-01,8.32,8.71,8.02,8.65,000,6.179619
2010-01-04,8.59,8.76,8.18,8.18,000,5.843848
2009-12-01,7.96,8.49,7.93,8.39,000,5.993874
2009-11-02,7.62,8.17,7.62,7.85,000,5.597071
2009-10-01,7.92,8.51,7.64,7.64,000,5.44734
2009-09-01,7.60,8.44,7.55,8.21,000,5.853752
2009-08-03,7.58,7.95,7.41,7.80,000,5.56142
2009-07-01,6.79,7.43,6.32,7.43,000,5.297609
2009-06-01,6.90,7.00,6.38,6.66,000,4.748597
2009-05-01,6.28,6.74,6.26,6.64,000,4.734337
2009-04-01,5.54,6.31,5.54,6.27,000,4.470526
2009-03-02,4.61,5.74,4.24,5.41,000,3.857344
2009-02-02,5.70,6.02,4.89,4.89,000,3.486583
2009-01-02,6.69,6.81,5.62,5.66,000,4.035595
2008-12-01,5.58,6.58,5.58,6.58,000,4.691557
2008-11-03,7.15,7.25,5.13,6.30,000,4.491917
2008-10-01,9.09,9.09,6.06,7.15,000,5.097969
2008-09-02,9.78,10.14,8.85,9.15,000,6.523974
2008-08-01,9.35,9.93,9.22,9.75,000,6.951776
2008-07-01,9.06,9.46,8.55,9.34,000,6.659445
2008-06-02,9.84,10.08,9.07,9.07,000,6.466934
2008-05-01,9.65,9.91,9.58,9.91,000,7.065856
2008-04-01,9.46,9.60,9.14,9.49,000,6.766395
2008-03-03,9.09,9.36,8.73,9.19,000,6.552494
2008-02-01,9.48,9.48,9.10,9.10,000,6.488324
2008-01-02,9.64,9.64,8.73,9.27,000,6.609535
2007-12-24,10.06,10.07,9.80,9.80,000,6.987426
