Date,cencppprivnonres,cencppprivres,cencpppub,cencpptot,cenhfs-supplymsa,cenhs-usmsa,cennewhsavgm,cennewhsmedm
2007-12,401961,410303,296694,1108958,9.6,619,284400,227700
2008-01,414045,397751,294251,1106047,9.3,627,284600,232400
2008-02,410638,382369,299323,1092331,9.7,593,301200,245300
2008-03,405798,382574,306539,1094910,10.5,535,287600,229300
2008-04,409912,376718,304512,1091142,10.3,536,314300,246400
2008-05,413850,371838,305320,1091008,10.7,504,298200,229300
2008-06,407304,359774,307558,1074637,10.7,487,299400,234300
2008-07,411182,345129,310609,1066919,10.5,477,301900,237300
2008-08,402515,341260,313684,1057459,11.3,435,265500,221000
2008-09,410404,337704,308559,1056666,10.9,433,287100,225200
2008-10,412197,324161,314332,1050690,11.6,393,274000,213200
2008-11,403443,308871,316897,1029211,11.4,389,290100,221600
2008-12,392797,288761,311957,993515,11.2,377,263100,229600
2009-01,378587,274565,309552,962704,12.2,336,245200,208600
2009-02,379778,258762,321367,959907,10.5,372,258600,209700
2009-03,382678,246825,325481,954984,11,339,259800,205100
2009-04,367807,242889,318896,929593,10.7,337,269800,219200
2009-05,363286,230880,317075,911241,9.3,376,274600,222300
2009-06,352549,228477,320961,901987,8.5,393,274800,214700
2009-07,342729,234280,322593,899601,7.9,411,271100,214200
2009-08,332589,242600,314453,889643,7.5,418,257800,207100
2009-09,321297,248091,310870,880259,7.8,386,290300,216600
2009-10,307252,254256,307866,869374,7.4,396,263800,215100
2009-11,297049,251048,302635,850732,7.6,375,274700,218800
2009-12,286770,245465,300330,832565,8,352,278300,222600
2010-01,265226,255049,295857,816132,8.1,346,283400,218200
2010-02,264648,240894,290265,795808,8,344,284100,221900
2010-03,265447,242785,297753,805985,7,385,262900,224800
2010-04,265825,251782,306401,824008,6.2,420,270500,208300
2010-05,262759,244245,309314,816318,9.2,281,281100,230500
2010-06,262842,241400,312059,816302,8.2,307,256700,219500
2010-07,250462,233762,304301,788524,9,279,252100,212100
2010-08,253837,229446,308370,791653,8.9,278,268800,226600
2010-09,252704,231170,315041,798916,7.7,316,270800,228000
2010-10,257129,236570,306567,800266,8.5,282,254400,204200
2010-11,263784,235679,298865,798328,8.2,287,281700,219600
2010-12,259138,229258,291499,779895,6.9,331,291700,241200
2011-01,226833,237726,288079,752638,7.2,310,275700,240100
2011-02,230390,231154,284511,746056,7.8,281,262800,220100
2011-03,240277,226848,286309,753433,7,305,260800,220500
2011-04,239268,235985,280167,755420,6.6,316,268900,224700
2011-05,252261,243060,280516,775837,6.5,308,262700,222000
2011-06,265226,236923,284635,786784,6.6,303,273100,240200
2011-07,263373,222417,277677,763468,6.8,295,270300,229900
2011-08,269278,232215,284816,786308,6.7,293,257600,217600
2011-09,270704,236507,283083,790294,6.4,303,248400,213300
2011-10,269141,243661,282930,795733,6.3,307,242300,212300
