Date,NAV
2007-12-21,10
2007-12-24,10.06
2007-12-26,10.07
2007-12-27,9.84
2007-12-28,9.83
2007-12-31,9.8
2008-01-01,9.8
2008-01-02,9.64
2008-01-03,9.54
2008-01-04,9.27
2008-01-07,9.31
2008-01-08,9.07
2008-01-09,9.16
2008-01-10,9.25
2008-01-11,9.08
2008-01-14,9.16
2008-01-15,8.99
2008-01-16,9.04
2008-01-17,8.82
2008-01-18,8.73
2008-01-22,8.73
2008-01-23,8.97
2008-01-24,8.98
2008-01-25,8.9
2008-01-28,9.08
2008-01-29,9.13
2008-01-30,9.05
2008-01-31,9.27
2008-02-01,9.48
2008-02-04,9.39
2008-02-05,9.17
2008-02-06,9.1
2008-02-07,9.22
2008-02-08,9.18
2008-02-11,9.2
2008-02-12,9.23
2008-02-13,9.39
2008-02-14,9.23
2008-02-15,9.2
2008-02-19,9.2
2008-02-20,9.34
2008-02-21,9.2
2008-02-22,9.21
2008-02-25,9.39
2008-02-26,9.47
2008-02-27,9.43
2008-02-28,9.34
2008-02-29,9.1
2008-03-03,9.09
2008-03-04,9.05
2008-03-05,9.09
2008-03-06,8.9
2008-03-07,8.87
2008-03-10,8.73
2008-03-11,9.03
2008-03-12,8.94
2008-03-13,9.09
2008-03-14,8.89
2008-03-17,8.77
2008-03-18,9.1
2008-03-19,8.9
2008-03-20,9.07
2008-03-24,9.26
2008-03-25,9.36
2008-03-26,9.28
2008-03-27,9.18
2008-03-28,9.11
2008-03-31,9.19
2008-04-01,9.46
2008-04-02,9.48
2008-04-03,9.46
2008-04-04,9.47
2008-04-07,9.48
2008-04-08,9.45
2008-04-09,9.32
2008-04-10,9.38
2008-04-11,9.16
2008-04-14,9.14
2008-04-15,9.22
2008-04-16,9.48
2008-04-17,9.42
2008-04-18,9.6
2008-04-21,9.55
2008-04-22,9.36
2008-04-23,9.37
2008-04-24,9.45
2008-04-25,9.51
2008-04-28,9.57
2008-04-29,9.52
2008-04-30,9.49
2008-05-01,9.65
2008-05-02,9.63
2008-05-05,9.61
2008-05-06,9.7
2008-05-07,9.58
2008-05-08,9.6
2008-05-09,9.59
2008-05-12,9.72
2008-05-13,9.77
2008-05-14,9.78
2008-05-15,9.87
2008-05-16,9.85
2008-05-19,9.85
2008-05-20,9.84
2008-05-21,9.72
2008-05-22,9.79
2008-05-23,9.65
2008-05-27,9.77
2008-05-28,9.81
2008-05-29,9.86
2008-05-30,9.91
2008-06-02,9.84
2008-06-03,9.83
2008-06-04,9.86
2008-06-05,10.08
2008-06-06,9.79
2008-06-09,9.76
2008-06-10,9.72
2008-06-11,9.57
2008-06-12,9.57
2008-06-13,9.68
2008-06-16,9.74
2008-06-17,9.69
2008-06-18,9.62
2008-06-19,9.67
2008-06-20,9.53
2008-06-23,9.49
2008-06-24,9.44
2008-06-25,9.52
2008-06-26,9.26
2008-06-27,9.19
2008-06-30,9.07
2008-07-01,9.06
2008-07-02,8.83
2008-07-03,8.76
2008-07-07,8.66
2008-07-08,8.95
2008-07-09,8.72
2008-07-10,8.75
2008-07-11,8.75
2008-07-14,8.6
2008-07-15,8.55
2008-07-16,8.9
2008-07-17,9.09
2008-07-18,9.09
2008-07-21,9.12
2008-07-22,9.38
2008-07-23,9.46
2008-07-24,9.2
2008-07-25,9.28
2008-07-28,9.09
2008-07-29,9.36
2008-07-30,9.39
2008-07-31,9.34
2008-08-01,9.35
2008-08-04,9.22
2008-08-05,9.49
2008-08-06,9.53
2008-08-07,9.34
2008-08-08,9.64
2008-08-11,9.86
2008-08-12,9.78
2008-08-13,9.78
2008-08-14,9.9
2008-08-15,9.93
2008-08-18,9.77
2008-08-19,9.62
2008-08-20,9.62
2008-08-21,9.56
2008-08-22,9.72
2008-08-25,9.5
2008-08-26,9.55
2008-08-27,9.68
2008-08-28,9.85
2008-08-29,9.75
2008-09-02,9.78
2008-09-03,9.85
2008-09-04,9.59
2008-09-05,9.62
2008-09-08,9.85
2008-09-09,9.55
2008-09-10,9.69
2008-09-11,9.71
2008-09-12,9.71
2008-09-15,9.34
2008-09-16,9.57
2008-09-17,9.12
2008-09-18,9.72
2008-09-19,10.14
2008-09-22,9.68
2008-09-23,9.57
2008-09-24,9.41
2008-09-25,9.51
2008-09-26,9.48
2008-09-29,8.85
2008-09-30,9.15
2008-10-01,9.09
2008-10-02,8.63
2008-10-03,8.44
2008-10-06,8.11
2008-10-07,7.64
2008-10-08,7.46
2008-10-09,6.77
2008-10-10,6.93
2008-10-13,7.59
2008-10-14,7.43
2008-10-15,6.77
2008-10-16,7.13
2008-10-17,7.01
2008-10-20,7.25
2008-10-21,7.05
2008-10-22,6.67
2008-10-23,6.53
2008-10-24,6.31
2008-10-27,6.06
2008-10-28,6.47
2008-10-29,6.56
2008-10-30,6.86
2008-10-31,7.15
2008-11-03,7.15
2008-11-04,7.25
2008-11-05,6.88
2008-11-06,6.63
2008-11-07,6.74
2008-11-10,6.57
2008-11-11,6.43
2008-11-12,6.05
2008-11-13,6.54
2008-11-14,6.13
2008-11-17,6.02
2008-11-18,5.99
2008-11-19,5.53
2008-11-20,5.13
2008-11-21,5.37
2008-11-24,5.76
2008-11-25,5.87
2008-11-26,6.22
2008-11-28,6.3
2008-12-01,5.58
2008-12-02,5.9
2008-12-03,6.09
2008-12-04,5.93
2008-12-05,6.19
2008-12-08,6.42
2008-12-09,6.22
2008-12-10,6.36
2008-12-11,6.05
2008-12-12,6.25
2008-12-15,6.05
2008-12-16,6.45
2008-12-17,6.48
2008-12-18,6.4
2008-12-19,6.35
2008-12-22,6.19
2008-12-23,6.12
2008-12-24,6.16
2008-12-26,6.24
2008-12-29,6.13
2008-12-30,6.37
2008-12-31,6.58
2009-01-02,6.69
2009-01-05,6.67
2009-01-06,6.81
2009-01-07,6.57
2009-01-08,6.65
2009-01-09,6.37
2009-01-12,6.19
2009-01-13,6.26
2009-01-14,5.98
2009-01-15,6.06
2009-01-16,6.09
2009-01-20,5.62
2009-01-21,5.92
2009-01-22,5.72
2009-01-23,5.75
2009-01-26,5.8
2009-01-27,5.88
2009-01-28,6.13
2009-01-29,5.83
2009-01-30,5.66
2009-02-02,5.7
2009-02-03,5.73
2009-02-04,5.68
2009-02-05,5.77
2009-02-06,6.02
2009-02-09,5.99
2009-02-10,5.67
2009-02-11,5.71
2009-02-12,5.73
2009-02-13,5.67
2009-02-17,5.39
2009-02-18,5.32
2009-02-19,5.21
2009-02-20,5.12
2009-02-23,4.9
2009-02-24,5.15
2009-02-25,5.02
2009-02-26,4.95
2009-02-27,4.89
2009-03-02,4.61
2009-03-03,4.49
2009-03-04,4.62
2009-03-05,4.32
2009-03-06,4.32
2009-03-09,4.24
2009-03-10,4.59
2009-03-11,4.59
2009-03-12,4.89
2009-03-13,4.94
2009-03-16,4.9
2009-03-17,5.12
2009-03-18,5.34
2009-03-19,5.29
2009-03-20,5.13
2009-03-23,5.58
2009-03-24,5.36
2009-03-25,5.5
2009-03-26,5.74
2009-03-27,5.55
2009-03-30,5.31
2009-03-31,5.41
2009-04-01,5.54
2009-04-02,5.85
2009-04-03,5.94
2009-04-06,5.83
2009-04-07,5.62
2009-04-08,5.74
2009-04-09,5.96
2009-04-13,5.99
2009-04-14,5.78
2009-04-15,5.91
2009-04-16,6.09
2009-04-17,6.19
2009-04-20,5.76
2009-04-21,6.03
2009-04-22,6.04
2009-04-23,5.98
2009-04-24,6.15
2009-04-27,6
2009-04-28,6.07
2009-04-29,6.31
2009-04-30,6.27
2009-05-01,6.28
2009-05-04,6.57
2009-05-05,6.54
2009-05-06,6.63
2009-05-07,6.44
2009-05-08,6.74
2009-05-11,6.56
2009-05-12,6.59
2009-05-13,6.26
2009-05-14,6.39
2009-05-15,6.32
2009-05-18,6.61
2009-05-19,6.58
2009-05-20,6.51
2009-05-21,6.39
2009-05-22,6.35
2009-05-26,6.65
2009-05-27,6.49
2009-05-28,6.52
2009-05-29,6.64
2009-06-01,6.9
2009-06-02,6.95
2009-06-03,6.86
2009-06-04,7
2009-06-05,6.99
2009-06-08,6.93
2009-06-09,6.97
2009-06-10,6.94
2009-06-11,6.97
2009-06-12,6.94
2009-06-15,6.73
2009-06-16,6.62
2009-06-17,6.62
2009-06-18,6.66
2009-06-19,6.7
2009-06-22,6.42
2009-06-23,6.38
2009-06-24,6.44
2009-06-25,6.62
2009-06-26,6.7
2009-06-29,6.71
2009-06-30,6.66
2009-07-01,6.79
2009-07-02,6.52
2009-07-06,6.49
2009-07-07,6.37
2009-07-08,6.32
2009-07-09,6.34
2009-07-10,6.35
2009-07-13,6.53
2009-07-14,6.58
2009-07-15,6.84
2009-07-16,6.94
2009-07-17,6.9
2009-07-20,7
2009-07-21,6.96
2009-07-22,7.01
2009-07-23,7.23
2009-07-24,7.26
2009-07-27,7.32
2009-07-28,7.33
2009-07-29,7.29
2009-07-30,7.42
2009-07-31,7.43
2009-08-03,7.58
2009-08-04,7.65
2009-08-05,7.59
2009-08-06,7.52
2009-08-07,7.74
2009-08-10,7.74
2009-08-11,7.6
2009-08-12,7.74
2009-08-13,7.79
2009-08-14,7.63
2009-08-17,7.41
2009-08-18,7.54
2009-08-19,7.61
2009-08-20,7.69
2009-08-21,7.88
2009-08-24,7.86
2009-08-25,7.93
2009-08-26,7.93
2009-08-27,7.95
2009-08-28,7.92
2009-08-31,7.8
2009-09-01,7.6
2009-09-02,7.55
2009-09-03,7.65
2009-09-04,7.76
2009-09-08,7.85
2009-09-09,7.99
2009-09-10,8.11
2009-09-11,8.09
2009-09-14,8.16
2009-09-15,8.25
2009-09-16,8.43
2009-09-17,8.37
2009-09-18,8.4
2009-09-21,8.38
2009-09-22,8.44
2009-09-23,8.35
2009-09-24,8.18
2009-09-25,8.13
2009-09-28,8.34
2009-09-29,8.32
2009-09-30,8.21
2009-10-01,7.92
2009-10-02,7.85
2009-10-05,8.02
2009-10-06,8.17
2009-10-07,8.18
2009-10-08,8.26
2009-10-09,8.35
2009-10-12,8.36
2009-10-13,8.33
2009-10-14,8.51
2009-10-15,8.51
2009-10-16,8.39
2009-10-19,8.47
2009-10-20,8.36
2009-10-21,8.23
2009-10-22,8.37
2009-10-23,8.17
2009-10-26,8.04
2009-10-27,7.96
2009-10-28,7.69
2009-10-29,7.9
2009-10-30,7.64
2009-11-02,7.62
2009-11-03,7.73
2009-11-04,7.65
2009-11-05,7.88
2009-11-06,7.87
2009-11-09,8.06
2009-11-10,8
2009-11-11,8.07
2009-11-12,7.9
2009-11-13,7.97
2009-11-16,8.17
2009-11-17,8.17
2009-11-18,8.14
2009-11-19,7.95
2009-11-20,7.92
2009-11-23,8.05
2009-11-24,8.01
2009-11-25,8.02
2009-11-27,7.82
2009-11-30,7.85
2009-12-01,7.96
2009-12-02,8.04
2009-12-03,7.93
2009-12-04,8.11
2009-12-07,8.12
2009-12-08,8.05
2009-12-09,8.05
2009-12-10,8.03
2009-12-11,8.1
2009-12-14,8.22
2009-12-15,8.17
2009-12-16,8.23
2009-12-17,8.14
2009-12-18,8.2
2009-12-21,8.31
2009-12-22,8.39
2009-12-23,8.46
2009-12-24,8.49
2009-12-28,8.48
2009-12-29,8.49
2009-12-30,8.49
2009-12-31,8.39
2010-01-04,8.59
2010-01-05,8.57
2010-01-06,8.58
2010-01-07,8.67
2010-01-08,8.72
2010-01-11,8.7
2010-01-12,8.58
2010-01-13,8.69
2010-01-14,8.74
2010-01-15,8.63
2010-01-19,8.76
2010-01-20,8.66
2010-01-21,8.52
2010-01-22,8.36
2010-01-25,8.38
2010-01-26,8.34
2010-01-27,8.41
2010-01-28,8.27
2010-01-29,8.18
2010-02-01,8.32
2010-02-02,8.4
2010-02-03,8.34
2010-02-04,8.05
2010-02-05,8.09
2010-02-08,8.02
2010-02-09,8.16
2010-02-10,8.17
2010-02-11,8.29
2010-02-12,8.36
2010-02-16,8.51
2010-02-17,8.56
2010-02-18,8.64
2010-02-19,8.69
2010-02-22,8.71
2010-02-23,8.59
2010-02-24,8.67
2010-02-25,8.68
2010-02-26,8.65
2010-03-01,8.83
2010-03-02,8.9
2010-03-03,8.91
2010-03-04,8.97
2010-03-05,9.12
2010-03-08,9.14
2010-03-09,9.18
2010-03-10,9.25
2010-03-11,9.28
2010-03-12,9.26
2010-03-15,9.23
2010-03-16,9.32
2010-03-17,9.4
2010-03-18,9.37
2010-03-19,9.25
2010-03-22,9.36
2010-03-23,9.46
2010-03-24,9.38
2010-03-25,9.31
2010-03-26,9.32
2010-03-29,9.38
2010-03-30,9.39
2010-03-31,9.33
2010-04-01,9.43
2010-04-05,9.62
2010-04-06,9.68
2010-04-07,9.67
2010-04-08,9.68
2010-04-09,9.72
2010-04-12,9.75
2010-04-13,9.76
2010-04-14,9.98
2010-04-15,10.03
2010-04-16,9.89
2010-04-19,9.87
2010-04-20,10.02
2010-04-21,10.09
2010-04-22,10.23
2010-04-23,10.35
2010-04-26,10.3
2010-04-27,10.02
2010-04-28,10.05
2010-04-29,10.25
2010-04-30,9.96
2010-05-03,10.13
2010-05-04,9.79
2010-05-05,9.64
2010-05-06,9.29
2010-05-07,9.01
2010-05-10,9.53
2010-05-11,9.59
2010-05-12,9.86
2010-05-13,9.75
2010-05-14,9.53
2010-05-17,9.55
2010-05-18,9.37
2010-05-19,9.26
2010-05-20,8.76
2010-05-21,8.9
2010-05-24,8.77
2010-05-25,8.75
2010-05-26,8.79
2010-05-27,9.2
2010-05-28,9.08
2010-06-01,8.75
2010-06-02,9
2010-06-03,9.07
2010-06-04,8.63
2010-06-07,8.42
2010-06-08,8.4
2010-06-09,8.4
2010-06-10,8.7
2010-06-11,8.82
2010-06-14,8.86
2010-06-15,9.1
2010-06-16,9.05
