cencpptot,cenhfs-supplymsa,cenhs-usmsa,cennewhsavgm,cennewhsmedm,NAV
1108958,9.6,619,284400,227700,10
1108958,9.6,619,284400,227700,10.06
1108958,9.6,619,284400,227700,10.07
1108958,9.6,619,284400,227700,9.84
1108958,9.6,619,284400,227700,9.83
1108958,9.6,619,284400,227700,9.8
1106047,9.3,627,284600,232400,9.8
1106047,9.3,627,284600,232400,9.64
1106047,9.3,627,284600,232400,9.54
1106047,9.3,627,284600,232400,9.27
1106047,9.3,627,284600,232400,9.31
1106047,9.3,627,284600,232400,9.07
1106047,9.3,627,284600,232400,9.16
1106047,9.3,627,284600,232400,9.25
1106047,9.3,627,284600,232400,9.08
1106047,9.3,627,284600,232400,9.16
1106047,9.3,627,284600,232400,8.99
1106047,9.3,627,284600,232400,9.04
1106047,9.3,627,284600,232400,8.82
1106047,9.3,627,284600,232400,8.73
1106047,9.3,627,284600,232400,8.73
1106047,9.3,627,284600,232400,8.97
1106047,9.3,627,284600,232400,8.98
1106047,9.3,627,284600,232400,8.9
1106047,9.3,627,284600,232400,9.08
1106047,9.3,627,284600,232400,9.13
1106047,9.3,627,284600,232400,9.05
1106047,9.3,627,284600,232400,9.27
1092331,9.7,593,301200,245300,9.48
1092331,9.7,593,301200,245300,9.39
1092331,9.7,593,301200,245300,9.17
1092331,9.7,593,301200,245300,9.1
1092331,9.7,593,301200,245300,9.22
1092331,9.7,593,301200,245300,9.18
1092331,9.7,593,301200,245300,9.2
1092331,9.7,593,301200,245300,9.23
1092331,9.7,593,301200,245300,9.39
1092331,9.7,593,301200,245300,9.23
1092331,9.7,593,301200,245300,9.2
1092331,9.7,593,301200,245300,9.2
1092331,9.7,593,301200,245300,9.34
1092331,9.7,593,301200,245300,9.2
1092331,9.7,593,301200,245300,9.21
1092331,9.7,593,301200,245300,9.39
1092331,9.7,593,301200,245300,9.47
1092331,9.7,593,301200,245300,9.43
1092331,9.7,593,301200,245300,9.34
1092331,9.7,593,301200,245300,9.1
1094910,10.5,535,287600,229300,9.09
1094910,10.5,535,287600,229300,9.05
1094910,10.5,535,287600,229300,9.09
1094910,10.5,535,287600,229300,8.9
1094910,10.5,535,287600,229300,8.87
1094910,10.5,535,287600,229300,8.73
1094910,10.5,535,287600,229300,9.03
1094910,10.5,535,287600,229300,8.94
1094910,10.5,535,287600,229300,9.09
1094910,10.5,535,287600,229300,8.89
1094910,10.5,535,287600,229300,8.77
1094910,10.5,535,287600,229300,9.1
1094910,10.5,535,287600,229300,8.9
1094910,10.5,535,287600,229300,9.07
1094910,10.5,535,287600,229300,9.26
1094910,10.5,535,287600,229300,9.36
1094910,10.5,535,287600,229300,9.28
1094910,10.5,535,287600,229300,9.18
1094910,10.5,535,287600,229300,9.11
1094910,10.5,535,287600,229300,9.19
1091142,10.3,536,314300,246400,9.46
1091142,10.3,536,314300,246400,9.48
1091142,10.3,536,314300,246400,9.46
1091142,10.3,536,314300,246400,9.47
1091142,10.3,536,314300,246400,9.48
1091142,10.3,536,314300,246400,9.45
1091142,10.3,536,314300,246400,9.32
1091142,10.3,536,314300,246400,9.38
1091142,10.3,536,314300,246400,9.16
1091142,10.3,536,314300,246400,9.14
1091142,10.3,536,314300,246400,9.22
1091142,10.3,536,314300,246400,9.48
1091142,10.3,536,314300,246400,9.42
1091142,10.3,536,314300,246400,9.6
1091142,10.3,536,314300,246400,9.55
1091142,10.3,536,314300,246400,9.36
1091142,10.3,536,314300,246400,9.37
1091142,10.3,536,314300,246400,9.45
1091142,10.3,536,314300,246400,9.51
1091142,10.3,536,314300,246400,9.57
1091142,10.3,536,314300,246400,9.52
1091142,10.3,536,314300,246400,9.49
1091008,10.7,504,298200,229300,9.65
1091008,10.7,504,298200,229300,9.63
1091008,10.7,504,298200,229300,9.61
1091008,10.7,504,298200,229300,9.7
1091008,10.7,504,298200,229300,9.58
1091008,10.7,504,298200,229300,9.6
1091008,10.7,504,298200,229300,9.59
1091008,10.7,504,298200,229300,9.72
1091008,10.7,504,298200,229300,9.77
1091008,10.7,504,298200,229300,9.78
1091008,10.7,504,298200,229300,9.87
1091008,10.7,504,298200,229300,9.85
1091008,10.7,504,298200,229300,9.85
1091008,10.7,504,298200,229300,9.84
1091008,10.7,504,298200,229300,9.72
1091008,10.7,504,298200,229300,9.79
1091008,10.7,504,298200,229300,9.65
1091008,10.7,504,298200,229300,9.77
1091008,10.7,504,298200,229300,9.81
1091008,10.7,504,298200,229300,9.86
1091008,10.7,504,298200,229300,9.91
1074637,10.7,487,299400,234300,9.84
1074637,10.7,487,299400,234300,9.83
1074637,10.7,487,299400,234300,9.86
1074637,10.7,487,299400,234300,10.08
1074637,10.7,487,299400,234300,9.79
1074637,10.7,487,299400,234300,9.76
1074637,10.7,487,299400,234300,9.72
1074637,10.7,487,299400,234300,9.57
1074637,10.7,487,299400,234300,9.57
1074637,10.7,487,299400,234300,9.68
1074637,10.7,487,299400,234300,9.74
1074637,10.7,487,299400,234300,9.69
1074637,10.7,487,299400,234300,9.62
1074637,10.7,487,299400,234300,9.67
1074637,10.7,487,299400,234300,9.53
1074637,10.7,487,299400,234300,9.49
1074637,10.7,487,299400,234300,9.44
1074637,10.7,487,299400,234300,9.52
1074637,10.7,487,299400,234300,9.26
1074637,10.7,487,299400,234300,9.19
1074637,10.7,487,299400,234300,9.07
1066919,10.5,477,301900,237300,9.06
1066919,10.5,477,301900,237300,8.83
1066919,10.5,477,301900,237300,8.76
1066919,10.5,477,301900,237300,8.66
1066919,10.5,477,301900,237300,8.95
1066919,10.5,477,301900,237300,8.72
1066919,10.5,477,301900,237300,8.75
1066919,10.5,477,301900,237300,8.75
1066919,10.5,477,301900,237300,8.6
1066919,10.5,477,301900,237300,8.55
1066919,10.5,477,301900,237300,8.9
1066919,10.5,477,301900,237300,9.09
1066919,10.5,477,301900,237300,9.09
1066919,10.5,477,301900,237300,9.12
1066919,10.5,477,301900,237300,9.38
1066919,10.5,477,301900,237300,9.46
1066919,10.5,477,301900,237300,9.2
1066919,10.5,477,301900,237300,9.28
1066919,10.5,477,301900,237300,9.09
1066919,10.5,477,301900,237300,9.36
1066919,10.5,477,301900,237300,9.39
1066919,10.5,477,301900,237300,9.34
1057459,11.3,435,265500,221000,9.35
1057459,11.3,435,265500,221000,9.22
1057459,11.3,435,265500,221000,9.49
1057459,11.3,435,265500,221000,9.53
1057459,11.3,435,265500,221000,9.34
1057459,11.3,435,265500,221000,9.64
1057459,11.3,435,265500,221000,9.86
1057459,11.3,435,265500,221000,9.78
1057459,11.3,435,265500,221000,9.78
1057459,11.3,435,265500,221000,9.9
1057459,11.3,435,265500,221000,9.93
1057459,11.3,435,265500,221000,9.77
1057459,11.3,435,265500,221000,9.62
1057459,11.3,435,265500,221000,9.62
1057459,11.3,435,265500,221000,9.56
1057459,11.3,435,265500,221000,9.72
1057459,11.3,435,265500,221000,9.5
1057459,11.3,435,265500,221000,9.55
1057459,11.3,435,265500,221000,9.68
1057459,11.3,435,265500,221000,9.85
1057459,11.3,435,265500,221000,9.75
1056666,10.9,433,287100,225200,9.78
1056666,10.9,433,287100,225200,9.85
1056666,10.9,433,287100,225200,9.59
1056666,10.9,433,287100,225200,9.62
1056666,10.9,433,287100,225200,9.85
1056666,10.9,433,287100,225200,9.55
1056666,10.9,433,287100,225200,9.69
1056666,10.9,433,287100,225200,9.71
1056666,10.9,433,287100,225200,9.71
1056666,10.9,433,287100,225200,9.34
1056666,10.9,433,287100,225200,9.57
1056666,10.9,433,287100,225200,9.12
1056666,10.9,433,287100,225200,9.72
1056666,10.9,433,287100,225200,10.14
1056666,10.9,433,287100,225200,9.68
1056666,10.9,433,287100,225200,9.57
1056666,10.9,433,287100,225200,9.41
1056666,10.9,433,287100,225200,9.51
1056666,10.9,433,287100,225200,9.48
1056666,10.9,433,287100,225200,8.85
1056666,10.9,433,287100,225200,9.15
1050690,11.6,393,274000,213200,9.09
1050690,11.6,393,274000,213200,8.63
1050690,11.6,393,274000,213200,8.44
1050690,11.6,393,274000,213200,8.11
1050690,11.6,393,274000,213200,7.64
1050690,11.6,393,274000,213200,7.46
1050690,11.6,393,274000,213200,6.77
1050690,11.6,393,274000,213200,6.93
1050690,11.6,393,274000,213200,7.59
1050690,11.6,393,274000,213200,7.43
1050690,11.6,393,274000,213200,6.77
1050690,11.6,393,274000,213200,7.13
1050690,11.6,393,274000,213200,7.01
1050690,11.6,393,274000,213200,7.25
1050690,11.6,393,274000,213200,7.05
1050690,11.6,393,274000,213200,6.67
1050690,11.6,393,274000,213200,6.53
1050690,11.6,393,274000,213200,6.31
1050690,11.6,393,274000,213200,6.06
1050690,11.6,393,274000,213200,6.47
1050690,11.6,393,274000,213200,6.56
1050690,11.6,393,274000,213200,6.86
1050690,11.6,393,274000,213200,7.15
1029211,11.4,389,290100,221600,7.15
1029211,11.4,389,290100,221600,7.25
1029211,11.4,389,290100,221600,6.88
1029211,11.4,389,290100,221600,6.63
1029211,11.4,389,290100,221600,6.74
1029211,11.4,389,290100,221600,6.57
1029211,11.4,389,290100,221600,6.43
1029211,11.4,389,290100,221600,6.05
1029211,11.4,389,290100,221600,6.54
1029211,11.4,389,290100,221600,6.13
1029211,11.4,389,290100,221600,6.02
1029211,11.4,389,290100,221600,5.99
1029211,11.4,389,290100,221600,5.53
1029211,11.4,389,290100,221600,5.13
1029211,11.4,389,290100,221600,5.37
1029211,11.4,389,290100,221600,5.76
1029211,11.4,389,290100,221600,5.87
1029211,11.4,389,290100,221600,6.22
1029211,11.4,389,290100,221600,6.3
993515,11.2,377,263100,229600,5.58
