Date,a002rc1,b003rc1,b004rc1,b005rc1
1959-01,306.6,40.1,145,121.6
1959-02,310.1,42,145.6,122.5
1959-03,313.2,42.3,147.6,123.3
1959-04,312.7,42.9,145.6,124.2
1959-05,316.6,43.1,148.4,125.1
1959-06,318.7,43.7,149,126
1959-07,318.3,43.2,148.2,126.9
1959-08,320.6,44,148.8,127.8
1959-09,324.7,45.1,150.8,128.8
1959-10,323.3,42.5,151,129.8
1959-11,323.3,42.5,150.2,130.7
1959-12,323.4,40.5,151.4,131.4
1960-01,324.1,40.9,151,132.1
1960-02,325.8,43.5,149.5,132.8
1960-03,330.7,45.1,151.9,133.6
1960-04,337,46.7,155.8,134.4
1960-05,330.6,43.5,151.9,135.2
1960-06,330.6,42.1,153,135.5
1960-07,331.9,42.5,153.7,135.7
1960-08,332.2,43.5,152.8,135.9
1960-09,334,44.9,152.5,136.7
1960-10,336,44.3,154.1,137.6
1960-11,336,42.7,154.8,138.5
1960-12,331.9,40,152.9,139
1961-01,332.8,39.3,154.1,139.4
1961-02,334.3,39.5,154.9,139.8
1961-03,338.3,40.8,156.6,140.9
1961-04,338.3,40.4,155.7,142.2
1961-05,340.5,41,156.1,143.4
1961-06,341.5,41.4,156.3,143.8
1961-07,341.2,41.7,155.6,143.9
1961-08,342.7,42.1,156.5,144.1
1961-09,345,42.5,157.3,145.2
1961-10,347.2,43.1,157.6,146.4
1961-11,350.6,44.2,158.7,147.7
1961-12,353.1,45.2,159.4,148.4
1962-01,353.9,45,159.9,149
1962-02,354.7,44.9,160.2,149.6
1962-03,358.1,45.6,161.8,150.6
1962-04,359.7,45.8,162.1,151.8
1962-05,362.7,47,162.7,153
1962-06,361.1,46.6,160.9,153.7
1962-07,362.1,46.6,161.4,154.1
1962-08,363.6,46.4,162.6,154.6
1962-09,369.5,47.9,166.2,155.5
1962-10,367.3,46.4,164.5,156.4
1962-11,372.4,49.5,165.7,157.3
1962-12,374.3,50.9,165.6,157.8
1963-01,375.1,50.4,166.5,158.1
1963-02,374,49.9,165.6,158.5
1963-03,375.6,49.7,166.8,159.1
1963-04,377,50.6,166.5,159.8
1963-05,377.8,50.9,166.3,160.6
1963-06,382.3,52.3,168,161.9
1963-07,385,52.8,168.9,163.3
1963-08,386.9,51.4,170.8,164.7
1963-09,386.1,51.9,168.5,165.7
1963-10,386.7,51.5,168.5,166.7
1963-11,390.1,53,169.4,167.7
