Date	fedtotconscred (in $MM)
1943-01	6577.83
1943-02	6463.04
1943-03	6234.21
1943-04	6125.75
1943-05	5936.26
1943-06	5822.23
1943-07	5718.37
1943-08	5638.75
1943-09	5647.59
1943-10	5650.74
1943-11	5576.87
1943-12	5462.52
1944-01	5398.57
1944-02	5354.36
1944-03	5370.36
1944-04	5379.18
1944-05	5430.50
1944-06	5467.79
1944-07	5498.20
1944-08	5533.96
1944-09	5549.23
1944-10	5565.93
1944-11	5570.10
1944-12	5585.69
1945-01	5602.73
1945-02	5573.81
1945-03	5667.69
1945-04	5582.45
1945-05	5605.25
1945-06	5704.45
1945-07	5748.78
1945-08	5767.01
1945-09	5758.27
1945-10	5932.02
1945-11	6095.55
1945-12	6567.05
1946-01	6504.51
1946-02	6765.95
1946-03	7005.45
1946-04	7333.22
1946-05	7532.37
1946-06	7702.21
1946-07	7933.64
1946-08	8345.16
1946-09	8599.60
1946-10	8895.14
1946-11	9218.28
1946-12	9444.39
1947-01	9770.20
1947-02	10089.00
1947-03	10345.85
1947-04	10645.94
1947-05	10926.31
1947-06	11135.65
1947-07	11364.12
1947-08	11582.88
1947-09	11860.30
1947-10	12205.13
1947-11	12534.87
1947-12	12855.62
1948-01	13228.61
1948-02	13524.28
1948-03	13921.24
1948-04	14264.07
1948-05	14500.28
1948-06	14775.27
1948-07	15041.57
1948-08	15229.70
1948-09	15515.14
1948-10	15579.62
1948-11	15603.37
1948-12	15803.23
1949-01	15901.70
1949-02	16009.26
1949-03	16092.98
1949-04	16413.20
1949-05	16638.10
1949-06	16860.93
1949-07	17061.10
1949-08	17355.49
1949-09	17695.16
1949-10	18021.32
1949-11	18435.99
1949-12	18772.21
1950-01	19050.87
1950-02	19371.63
1950-03	19734.83
1950-04	20148.38
1950-05	20621.68
1950-06	21118.84
1950-07	22086.29
1950-08	22728.26
1950-09	23171.57
1950-10	23242.15
1950-11	23258.56
1950-12	23229.16
1951-01	23797.60
1951-02	24109.42
1951-03	24280.96
1951-04	24076.15
1951-05	23994.88
1951-06	23841.03
1951-07	23706.57
1951-08	23940.11
1951-09	24098.29
1951-10	24288.01
1951-11	24639.74
1951-12	24627.95
1952-01	24801.92
1952-02	25151.92
1952-03	25195.58
1952-04	25548.05
1952-05	26146.47
1952-06	26762.43
1952-07	27210.19
1952-08	27468.78
1952-09	27869.82
1952-10	28496.56
1952-11	29049.11
1952-12	29685.58
1953-01	30479.45
1953-02	30886.61
1953-03	31639.33
1953-04	32117.35
1953-05	32431.82
1953-06	32501.58
1953-07	32792.30
1953-08	33060.61
1953-09	33255.74
1953-10	33482.28
1953-11	33558.31
1953-12	33696.92
1954-01	34064.90
1954-02	33701.35
1954-03	33507.66
1954-04	33706.50
1954-05	33704.80
1954-06	33815.39
1954-07	34057.20
1954-08	34009.56
1954-09	34137.28
1954-10	34363.37
1954-11	34608.56
1954-12	35028.27
1955-01	35372.51
1955-02	35925.41
1955-03	36530.32
1955-04	37235.21
1955-05	37736.78
1955-06	38536.67
1955-07	39029.43
1955-08	39732.77
1955-09	40394.19
1955-10	40833.66
1955-11	41366.82
1955-12	41869.03
1956-01	42120.13
1956-02	42561.07
1956-03	43205.25
1956-04	43383.97
1956-05	43799.61
1956-06	44053.63
1956-07	44173.42
1956-08	44498.86
1956-09	44778.98
1956-10	44934.15
1956-11	45400.79
1956-12	45448.24
1957-01	45700.50
1957-02	46042.24
1957-03	46245.30
