date,DOW,SP100,WSMCAP,NWUAX
12/21/07,13450.65,1484.46,63397.03,10
12/24/07,13549.33,1496.45,64231.97,10.06
12/26/07,13551.69,1497.66,64072.3,10.07
12/27/07,13359.61,1476.37,62585.36,9.84
12/28/07,13365.87,1478.49,62438.6,9.83
12/31/07,13264.82,1468.36,62141.94,9.8
1/2/08,13043.96,1447.16,61196.83,9.64
1/3/08,13056.72,1447.16,60422.55,9.54
1/4/08,12800.18,1411.63,58681.09,9.27
1/7/08,12827.49,1416.18,58937.1,9.31
1/8/08,12589.07,1390.19,57419,9.07
1/9/08,12735.31,1409.13,57805.28,9.16
1/10/08,12853.09,1420.33,58423.98,9.25
1/11/08,12606.3,1401.02,57462.53,9.08
1/14/08,12778.15,1416.25,57950.55,9.16
1/15/08,12501.11,1380.95,56740.56,8.99
1/16/08,12466.16,1373.2,56996.57,9.04
1/17/08,12159.21,1333.25,55366.72,8.82
1/18/08,12099.3,1325.19,54792.92,8.73
1/22/08,11971.19,1310.5,54995.18,8.73
1/23/08,12270.17,1338.6,57089.42,8.97
1/24/08,12378.61,1352.07,57107.05,8.98
1/25/08,12207.17,1330.61,56879.99,8.9
1/28/08,12383.89,1353.97,58251.37,9.08
1/29/08,12480.3,1362.3,58888.49,9.13
1/30/08,12442.83,1355.81,58280.77,9.05
1/31/08,12650.36,1378.55,60015.7,9.27
2/1/08,12743.19,1395.42,61312.37,9.48
2/4/08,12635.16,1380.82,60714.32,9.39
2/5/08,12265.13,1336.64,59109.45,9.17
2/6/08,12200.1,1326.45,58656.92,9.1
2/7/08,12247,1336.91,59499.95,9.22
2/8/08,12182.13,1331.29,59080.59,9.18
2/11/08,12240.01,1339.13,59121.85,9.2
2/12/08,12373.41,1348.86,59544.07,9.23
2/13/08,12552.24,1367.21,60485.83,9.39
2/14/08,12376.98,1348.86,59372.12,9.23
2/15/08,12348.21,1349.99,59247.07,9.2
2/19/08,12337.22,1348.78,59262.59,9.2
2/20/08,12427.26,1360.03,60077.27,9.34
2/21/08,12284.3,1342.53,59067.59,9.2
2/22/08,12381.02,1353.11,59283.21,9.21
2/25/08,12570.22,1371.8,60508.57,9.39
2/26/08,12684.92,1381.29,60983.09,9.47
2/27/08,12694.28,1380.02,60750.84,9.43
2/28/08,12582.18,1367.68,59788.06,9.34
2/29/08,12266.39,1330.63,58139.32,9.1
3/3/08,12258.9,1331.34,58111.98,9.09
3/4/08,12213.8,1326.75,57821.58,9.05
3/5/08,12254.99,1333.7,57977.73,9.09
3/6/08,12040.39,1304.34,56302.15,8.9
3/7/08,11893.69,1293.37,56122.1,8.87
3/10/08,11740.15,1273.37,55029.53,8.73
3/11/08,12156.81,1320.65,57410.85,9.03
3/12/08,12110.24,1308.77,56848.16,8.94
3/13/08,12145.74,1315.48,57713.77,9.09
3/14/08,11951.09,1288.14,56466.17,8.89
3/17/08,11972.25,1276.6,55485.4,8.77
3/18/08,12392.66,1330.74,57845.84,9.1
3/19/08,12099.66,1298.42,56488.24,8.9
3/20/08,12361.32,1329.51,57897.99,9.07
3/24/08,12548.64,1349.88,59123.62,9.26
3/25/08,12532.6,1352.99,59424.68,9.36
3/26/08,12422.86,1341.13,58807.81,9.28
3/27/08,12302.46,1325.76,57983.01,9.18
3/28/08,12216.4,1315.22,57248.94,9.11
3/31/08,12262.89,1322.7,57798.34,9.19
4/1/08,12654.36,1370.18,59820.42,9.46
4/2/08,12605.83,1367.53,60015.68,9.48
4/3/08,12626.03,1369.31,60095.4,9.46
4/4/08,12609.42,1370.4,59817.74,9.47
4/7/08,12612.43,1372.54,59937.47,9.48
4/8/08,12576.44,1365.54,59660.73,9.45
4/9/08,12527.26,1354.49,58452.29,9.32
4/10/08,12581.98,1360.55,58951.84,9.38
4/11/08,12325.42,1332.83,57737.78,9.16
4/14/08,12302.06,1328.32,57447.82,9.14
4/15/08,12362.47,1334.43,58096.42,9.22
4/16/08,12619.27,1364.71,59854.62,9.48
4/17/08,12620.49,1365.56,59692.79,9.42
4/18/08,12849.36,1390.33,60509.42,9.6
4/21/08,12825.02,1388.17,60050.77,9.55
4/22/08,12720.23,1375.94,59114.03,9.36
4/23/08,12763.22,1379.93,59003.41,9.37
4/24/08,12848.95,1388.82,59948.24,9.45
4/25/08,12891.86,1397.84,60438.73,9.51
4/28/08,12871.75,1396.37,60831.19,9.57
4/29/08,12831.94,1390.94,60461.86,9.52
4/30/08,12820.13,1385.59,60144.32,9.49
5/1/08,13010,1409.34,61508.03,9.65
5/2/08,13058.2,1413.9,61275.84,9.63
5/5/08,12969.54,1407.49,61056.43,9.61
5/6/08,13020.83,1418.26,61388.84,9.7
5/7/08,12814.35,1392.57,60382.64,9.58
5/8/08,12866.78,1397.68,60369.66,9.6
5/9/08,12745.88,1388.28,60369.3,9.59
5/12/08,12876.31,1403.58,61450.52,9.72
5/13/08,12832.18,1403.04,61609.6,9.77
5/14/08,12898.38,1408.66,61810.68,9.78
5/15/08,12992.66,1423.57,62389,9.87
5/16/08,12986.8,1425.35,62132.85,9.85
5/19/08,13028.16,1426.63,62068.06,9.85
5/20/08,12828.68,1413.4,61725.89,9.84
5/21/08,12601.19,1390.71,60997.1,9.72
5/22/08,12625.62,1394.35,61371.86,9.79
5/23/08,12479.63,1375.93,60551.35,9.65
5/27/08,12548.35,1385.35,61240.79,9.77
5/28/08,12594.03,1390.84,61431.42,9.81
5/29/08,12646.22,1398.26,61986.78,9.86
5/30/08,12638.32,1400.38,62116.33,9.91
6/2/08,12503.82,1385.67,61496.65,9.84
6/3/08,12402.85,1377.65,61397.35,9.83
6/4/08,12390.48,1377.2,61600.18,9.86
6/5/08,12604.45,1404.05,62711.6,10.08
6/6/08,12209.81,1360.68,60718.76,9.79
6/9/08,12280.32,1361.76,60209.51,9.76
6/10/08,12289.76,1358.44,60166.28,9.72
6/11/08,12083.77,1335.49,58844.47,9.57
6/12/08,12141.58,1339.87,59109.53,9.57
6/13/08,12307.35,1360.03,59900.79,9.68
6/16/08,12269.08,1360.14,60336.08,9.74
6/17/08,12160.3,1350.93,59646.45,9.69
6/18/08,12029.06,1337.81,59099.12,9.62
6/19/08,12063.09,1342.83,59544.89,9.67
6/20/08,11842.69,1317.93,58526.93,9.53
6/23/08,11842.36,1318,57901.47,9.49
6/24/08,11807.43,1314.29,57310.5,9.44
6/25/08,11811.83,1321.97,57812.72,9.52
6/26/08,11453.42,1283.15,56213.26,9.26
6/27/08,11346.51,1278.38,55819.49,9.19
6/30/08,11350.01,1280,55201,9.07
7/1/08,11382.26,1284.91,55253.57,9.06
7/2/08,11215.51,1261.52,53799.04,8.83
7/3/08,11288.54,1262.9,53299.43,8.76
7/7/08,11231.96,1252.31,52675.57,8.66
7/8/08,11384.21,1273.7,54516.08,8.95
7/9/08,11147.44,1244.69,53059,8.72
7/10/08,11229.02,1253.39,53328.39,8.75
7/11/08,11100.54,1239.49,53325.28,8.75
7/14/08,11055.19,1228.3,52278.19,8.6
7/15/08,10962.54,1214.91,51919.1,8.55
7/16/08,11239.28,1245.36,54021.8,8.9
7/17/08,11446.66,1260.32,55185.95,9.09
7/18/08,11496.57,1260.68,55115.36,9.09
7/21/08,11467.34,1260,55404.28,9.12
7/22/08,11602.5,1277,57030.51,9.38
7/23/08,11632.38,1282.19,57350.37,9.46
7/24/08,11349.28,1252.54,55672.25,9.2
7/25/08,11370.69,1257.76,56100.91,9.28
7/28/08,11131.08,1234.37,55200.74,9.09
7/29/08,11397.56,1263.2,56933.25,9.36
7/30/08,11583.69,1284.26,57236,9.39
7/31/08,11378.02,1267.38,56802.5,9.34
8/1/08,11326.32,1260.31,56952.85,9.35
8/4/08,11284.15,1249.01,56200.77,9.22
8/5/08,11615.77,1284.88,57707.93,9.49
8/6/08,11656.07,1289.19,57779.55,9.53
8/7/08,11431.43,1266.07,56654.26,9.34
8/8/08,11734.32,1296.32,58362.25,9.64
8/11/08,11782.35,1305.32,59592.34,9.86
8/12/08,11642.47,1289.59,58852.84,9.78
8/13/08,11532.96,1285.83,58782.63,9.78
8/14/08,11615.93,1292.93,59478.3,9.9
8/15/08,11659.9,1298.2,59699.8,9.93
8/18/08,11479.39,1278.6,58880.19,9.77
8/19/08,11348.55,1266.69,57990.3,9.62
8/20/08,11417.43,1274.54,57970.32,9.62
8/21/08,11430.21,1277.72,57515.19,9.56
8/22/08,11628.06,1292.2,58499.28,9.72
8/25/08,11386.25,1266.84,57231.82,9.5
8/26/08,11412.87,1271.51,57467.28,9.55
8/27/08,11502.51,1281.66,58162.96,9.68
8/28/08,11715.18,1300.68,59513.66,9.85
8/29/08,11543.55,1282.83,59069.56,9.75
9/2/08,11516.92,1277.58,59176.28,9.78
9/3/08,11532.88,1274.98,59548.99,9.85
9/4/08,11188.23,1236.83,57904.37,9.59
9/5/08,11220.96,1242.31,58087.02,9.62
9/8/08,11510.74,1267.79,59417.99,9.85
9/9/08,11230.73,1224.51,57368.31,9.55
9/10/08,11268.92,1232.04,58020.45,9.69
9/11/08,11433.71,1249.05,58198.77,9.71
9/12/08,11421.99,1251.7,58594.51,9.71
9/15/08,10917.51,1192.7,56046.03,9.34
9/16/08,11059.02,1213.59,57501.71,9.57
9/17/08,10609.66,1156.39,54702.87,9.12
9/18/08,11019.69,1206.51,58544.09,9.72
9/19/08,11388.44,1255.08,61144.11,10.14
9/22/08,11015.69,1207.09,57810.58,9.68
9/23/08,10854.17,1188.22,57235.35,9.57
9/24/08,10825.17,1185.87,56568.02,9.41
9/25/08,11022.06,1209.18,57195.3,9.51
9/26/08,11143.13,1213.01,57149.38,9.48
9/29/08,10365.45,1106.39,53104.08,8.85
9/30/08,10850.66,1166.36,55083.33,9.15
10/1/08,10831.07,1161.06,54970.64,9.09
10/2/08,10482.85,1114.28,52370.64,8.63
10/3/08,10325.38,1099.23,50938.05,8.44
10/6/08,9955.5,1056.89,48870.41,8.11
10/7/08,9447.11,996.23,46040.35,7.64
10/8/08,9258.1,984.94,44848.81,7.46
10/9/08,8579.19,909.92,40786.98,6.77
10/10/08,8451.19,899.22,42318.47,6.93
10/13/08,9387.61,1003.35,46212.97,7.59
10/14/08,9310.99,998.01,45488.8,7.43
10/15/08,8577.91,907.84,41474.14,6.77
10/16/08,8979.26,946.43,43476.83,7.13
10/17/08,8852.22,940.55,42847.47,7.01
10/20/08,9265.43,985.4,44384.19,7.25
10/21/08,9033.66,955.05,43225.93,7.05
10/22/08,8519.21,896.78,40841.39,6.67
10/23/08,8691.25,908.11,39987.69,6.53
10/24/08,8378.95,876.77,38655.63,6.31
10/27/08,8175.77,848.92,37114.04,6.06
10/28/08,9065.12,940.51,40115.68,6.47
10/29/08,8990.96,930.09,40719.26,6.56
10/30/08,9180.69,954.09,42384.48,6.86
10/31/08,9325.01,968.75,44090.95,7.15
11/3/08,9319.83,966.3,44114.45,7.15
11/4/08,9625.28,1005.75,44711.62,7.25
11/5/08,9139.27,952.77,42211.96,6.88
11/6/08,8695.79,904.88,40577.31,6.63
11/7/08,8943.81,930.99,41406.17,6.74
11/10/08,8870.54,919.21,40226.02,6.57
11/11/08,8693.96,898.95,39417.23,6.43
11/12/08,8282.66,852.3,37271.96,6.05
11/13/08,8835.25,911.29,40218.44,6.54
11/14/08,8497.31,873.29,37686.15,6.13
11/17/08,8273.58,850.75,37095.48,6.02
11/18/08,8424.75,859.12,36991.84,5.99
11/19/08,7997.28,806.58,34018.66,5.53
11/20/08,7552.29,752.44,31520.08,5.13
11/21/08,8046.42,800.03,33259.63,5.37
11/24/08,8443.39,851.81,35936.6,5.76
11/25/08,8479.47,857.39,36699.52,5.87
11/26/08,8726.61,887.68,38586.61,6.22
11/28/08,8829.04,896.24,39202.35,6.3
12/1/08,8149.09,816.21,34445.46,5.58
12/2/08,8419.09,848.81,36429.16,5.9
12/3/08,8591.69,870.74,37542.17,6.09
12/4/08,8376.24,845.22,36511.47,5.93
12/5/08,8635.42,876.07,38222.57,6.19
12/8/08,8934.18,909.7,39580.52,6.42
12/9/08,8691.33,888.67,38296.31,6.22
12/10/08,8761.42,899.24,39197.73,6.36
12/11/08,8565.09,873.59,37118.58,6.05
12/12/08,8629.68,879.73,38552.19,6.25
12/15/08,8564.53,868.57,37398.03,6.05
12/16/08,8924.14,913.18,39883.1,6.45
12/17/08,8824.34,904.42,40052.8,6.48
12/18/08,8604.99,885.28,39275.43,6.4
12/19/08,8579.11,887.88,39755.42,6.35
12/22/08,8519.77,871.63,38858.28,6.19
12/23/08,8419.49,863.16,38352.25,6.12
12/24/08,8468.48,868.15,38569.53,6.16
12/26/08,8515.55,872.8,39100.14,6.24
12/29/08,8483.93,869.42,38411.84,6.13
12/30/08,8668.39,890.64,39804.95,6.37
12/31/08,8776.39,903.25,41062.31,6.58
1/2/09,9034.69,931.8,41656.7,6.69
1/5/09,8952.89,927.45,41537.87,6.67
1/6/09,9015.1,934.7,42371.2,6.81
1/7/09,8769.7,906.65,40898.38,6.57
1/8/09,8742.46,909.73,41310.42,6.65
1/9/09,8599.18,890.35,39807.25,6.37
1/12/09,8473.97,870.26,38683.3,6.19
1/13/09,8448.56,871.79,39231.35,6.26
1/14/09,8200.14,842.62,37613.28,5.98
1/15/09,8212.49,843.74,38065.86,6.06
1/16/09,8281.22,850.12,38498.59,6.09
1/20/09,7949.09,805.22,35811.61,5.62
1/21/09,8228.1,840.24,37691.13,5.92
1/22/09,8122.8,827.5,36380.96,5.72
1/23/09,8077.56,831.95,36714.84,5.75
1/26/09,8116.03,836.57,36948.02,5.8
1/27/09,8174.73,845.71,37492.02,5.88
1/28/09,8375.45,874.09,39077.38,6.13
1/29/09,8149.01,845.14,37370.65,5.83
1/30/09,8000.86,825.88,36412.97,5.66
2/2/09,7936.83,825.44,36738.52,5.7
2/3/09,8078.36,838.51,36858.2,5.73
2/4/09,7956.66,832.23,36538.45,5.68
2/5/09,8063.07,845.85,36925.48,5.77
2/6/09,8280.59,868.6,38372.11,6.02
2/9/09,8270.87,869.89,38284.6,5.99
2/10/09,7888.88,827.16,36272.76,5.67
2/11/09,7939.53,833.74,36606.3,5.71
2/12/09,7932.76,835.19,36696.83,5.73
2/13/09,7850.41,826.84,36220.22,5.67
2/17/09,7552.6,789.17,34571.03,5.39
2/18/09,7555.63,788.42,34123.35,5.32
2/19/09,7465.95,778.94,33325.53,5.21
2/20/09,7365.67,770.05,32876.8,5.12
2/23/09,7114.78,743.33,31488.74,4.9
2/24/09,7350.94,773.14,33024.11,5.15
2/25/09,7270.89,764.9,32409.1,5.02
2/26/09,7182.08,752.83,32027.9,4.95
2/27/09,7062.93,735.09,31660.16,4.89
3/2/09,6763.29,700.82,29935.81,4.61
3/3/09,6726.02,696.33,29237.67,4.49
3/4/09,6875.84,712.87,30038.43,4.62
3/5/09,6594.44,682.55,28192.6,4.32
3/6/09,6626.94,683.38,28169.21,4.32
3/9/09,6547.05,676.53,27754.15,4.24
3/10/09,6926.49,719.6,29874.93,4.59
3/11/09,6930.4,721.36,29837.01,4.59
3/12/09,7170.06,750.74,31603.42,4.89
3/13/09,7223.98,756.55,31830.37,4.94
3/16/09,7216.97,753.89,31463.77,4.9
3/17/09,7395.7,778.12,32796.23,5.12
3/18/09,7486.58,794.35,34113.24,5.34
3/19/09,7400.8,784.04,33715.4,5.29
3/20/09,7278.38,768.54,32674.26,5.13
3/23/09,7775.86,822.92,35874.38,5.58
3/24/09,7659.97,806.12,34401.29,5.36
3/25/09,7749.81,813.88,35181.06,5.5
3/26/09,7924.56,832.86,36621,5.74
3/27/09,7776.18,815.94,35422.33,5.55
3/30/09,7522.02,787.53,33794.07,5.31
3/31/09,7608.92,797.87,34605.56,5.41
4/1/09,7761.6,811.08,35287.59,5.54
4/2/09,7978.08,834.38,37153.34,5.85
4/3/09,8017.59,842.5,37980.98,5.94
4/6/09,7975.85,835.48,37305.41,5.83
4/7/09,7789.56,815.55,35898.88,5.62
4/8/09,7837.11,825.16,36594.35,5.74
4/9/09,8083.38,856.56,39399.46,5.96
4/13/09,8057.81,858.73,39756.34,5.99
4/14/09,7920.18,841.5,38044.84,5.78
4/15/09,8029.62,852.06,39124.72,5.91
4/16/09,8125.43,865.3,40219.15,6.09
4/17/09,8131.33,869.6,40909.93,6.19
4/20/09,7841.73,832.39,37849.23,5.76
4/21/09,7969.56,850.08,39793.36,6.03
4/22/09,7886.57,843.55,39649.53,6.04
4/23/09,7957.06,851.92,39669.25,5.98
4/24/09,8076.29,866.23,40959.07,6.15
4/27/09,8025,857.51,39830.98,6
4/28/09,8016.95,855.16,40001.38,6.07
4/29/09,8185.73,873.64,41731.07,6.31
4/30/09,8168.12,872.81,41498.89,6.27
5/1/09,8212.41,877.52,41364.27,6.28
5/4/09,8426.74,907.24,43762.77,6.57
5/5/09,8410.65,903.8,43286.91,6.54
5/6/09,8512.28,919.53,44054.34,6.63
5/7/09,8409.85,907.39,42788.29,6.44
5/8/09,8574.65,929.23,45227.39,6.74
5/11/09,8418.77,909.24,43896.02,6.56
5/12/09,8469.11,908.35,43165.74,6.59
5/13/09,8284.89,883.92,40649.79,6.26
5/14/09,8331.32,893.07,41639.7,6.39
5/15/09,8268.64,882.88,41012.12,6.32
5/18/09,8504.08,909.71,43143.03,6.61
5/19/09,8474.85,908.13,42769.88,6.58
5/20/09,8422.04,903.47,42344.78,6.51
5/21/09,8292.13,888.33,41645.35,6.39
5/22/09,8277.32,887,41270.96,6.35
5/26/09,8473.49,910.33,43179.39,6.65
5/27/09,8300.02,893.06,41984.78,6.49
5/28/09,8403.8,906.83,42316.6,6.52
5/29/09,8500.33,919.14,43138.21,6.64
6/1/09,8721.44,942.87,44808.26,6.9
6/2/09,8740.87,944.74,45027.72,6.95
6/3/09,8675.28,931.76,44390.4,6.86
6/4/09,8750.24,942.46,45348.25,7
6/5/09,8763.13,940.09,45189.81,6.99
6/8/09,8764.49,939.14,44828.89,6.93
6/9/09,8763.06,942.43,45010.21,6.97
6/10/09,8739.02,939.15,44669.03,6.94
6/11/09,8770.92,944.89,44792.91,6.97
6/12/09,8799.26,946.21,44779.45,6.94
6/15/09,8612.13,923.72,43378.94,6.73
6/16/09,8504.67,911.97,42623.47,6.62
6/17/09,8497.18,910.71,42307.55,6.62
6/18/09,8555.6,918.37,42556.34,6.66
6/19/09,8539.73,921.23,42872.36,6.7
6/22/09,8339.01,893.04,41035.9,6.42
6/23/09,8322.91,895.1,40854.24,6.38
6/24/09,8299.86,900.94,41346.19,6.44
6/25/09,8472.4,920.26,42436.79,6.62
6/26/09,8438.39,918.9,42838.14,6.7
6/29/09,8529.38,927.23,43046.33,6.71
6/30/09,8447,919.32,42786.63,6.66
7/1/09,8504.06,923.33,43552.57,6.79
7/2/09,8280.74,896.42,41897.73,6.52
7/6/09,8324.87,898.72,41825.6,6.49
7/7/09,8163.6,881.03,40882.09,6.37
7/8/09,8178.41,879.56,40488.89,6.32
7/9/09,8183.17,882.68,40620.78,6.34
7/10/09,8146.52,879.13,40590.27,6.35
7/13/09,8331.68,901.05,41863.46,6.53
7/14/09,8359.49,905.84,42157.91,6.58
7/15/09,8616.21,932.68,43758.77,6.84
7/16/09,8711.82,940.74,44238.92,6.94
7/17/09,8743.94,940.38,43828.52,6.9
7/20/09,8848.15,951.13,44598.53,7
7/21/09,8915.94,954.58,44238.81,6.96
7/22/09,8881.26,954.07,44549.77,7.01
7/23/09,9069.29,976.29,46058.1,7.23
7/24/09,9093.24,979.26,46382.42,7.26
7/27/09,9108.51,982.18,46991.6,7.32
7/28/09,9096.72,979.62,47024.07,7.33
7/29/09,9070.72,975.15,46610.94,7.29
7/30/09,9154.46,986.75,47580.91,7.42
7/31/09,9171.61,987.48,47741.05,7.43
8/3/09,9286.56,1002.63,48800.96,7.58
8/4/09,9320.19,1005.65,49601.57,7.65
8/5/09,9280.97,1002.72,49862.94,7.59
8/6/09,9256.26,997.08,49337.54,7.52
8/7/09,9370.07,1010.48,50947.41,7.74
8/10/09,9337.95,1007.1,50855.48,7.74
8/11/09,9241.45,994.35,49794,7.6
8/12/09,9361.61,1005.81,50522.36,7.74
8/13/09,9398.19,1012.73,50965.87,7.79
8/14/09,9321.4,1004.09,50107.13,7.63
8/17/09,9135.34,979.73,48390.36,7.41
8/18/09,9217.94,989.67,49180.73,7.54
8/19/09,9279.16,996.46,49376.03,7.61
8/20/09,9350.05,1007.37,50189.29,7.69
8/21/09,9505.96,1026.13,51423.48,7.88
8/24/09,9509.28,1025.57,51275.98,7.86
8/25/09,9539.29,1028,51697.09,7.93
8/26/09,9543.52,1028.12,51750.27,7.93
8/27/09,9580.63,1030.98,51977.9,7.95
8/28/09,9544.2,1028.93,51972.63,7.92
8/31/09,9496.28,1020.62,51297.03,7.8
9/1/09,9310.6,998.04,49624.87,7.6
9/2/09,9280.67,994.75,49100.87,7.55
9/3/09,9344.61,1003.24,49867.75,7.65
9/4/09,9441.27,1016.4,50460.1,7.76
9/8/09,9497.34,1025.39,51060.26,7.85
9/9/09,9547.22,1033.37,51889.59,7.99
9/10/09,9627.48,1044.14,52548.72,8.11
9/11/09,9605.41,1042.73,52450.23,8.09
9/14/09,9626.8,1049.34,53133.02,8.16
9/15/09,9683.41,1052.63,53851.54,8.25
9/16/09,9791.71,1068.76,55372.7,8.43
9/17/09,9783.92,1065.49,54890.09,8.37
9/18/09,9820.2,1068.3,55005.29,8.4
9/21/09,9778.86,1064.66,54662.03,8.38
9/22/09,9829.87,1071.66,55389.16,8.44
9/23/09,9748.55,1060.87,54547.76,8.35
9/24/09,9707.44,1050.78,53357.2,8.18
9/25/09,9665.19,1044.38,53070.03,8.13
9/28/09,9789.36,1062.98,54514.15,8.34
9/29/09,9742.2,1060.61,54497.94,8.32
9/30/09,9712.28,1057.08,53882.5,8.21
10/1/09,9509.28,1029.85,51974.55,7.92
10/2/09,9487.67,1025.21,51584.89,7.85
10/5/09,9599.75,1040.46,52750.51,8.02
10/6/09,9731.25,1054.72,53593.36,8.17
10/7/09,9725.58,1057.58,53667.42,8.18
10/8/09,9786.87,1065.48,54348.33,8.26
10/9/09,9864.94,1071.49,54833.5,8.35
10/12/09,9885.8,1076.19,54856.9,8.36
10/13/09,9871.06,1073.19,54602.37,8.33
10/14/09,10015.86,1092.02,55747.99,8.51
10/15/09,10062.94,1096.56,55775.19,8.51
10/16/09,9995.91,1087.68,54994.25,8.39
10/19/09,10092.19,1097.91,55483.77,8.47
10/20/09,10041.48,1091.06,54619.44,8.36
10/21/09,9949.36,1081.4,53916.84,8.23
10/22/09,10081.31,1092.91,54837.41,8.37
10/23/09,9972.18,1079.6,53648.27,8.17
10/26/09,9867.96,1066.95,52908.73,8.04
10/27/09,9882.17,1063.41,52320.36,7.96
10/28/09,9762.69,1042.63,50482.51,7.69
10/29/09,9962.58,1066.11,51851.27,7.9
10/30/09,9712.73,1036.19,50075.95,7.64
11/2/09,9789.44,1042.88,49911.96,7.62
11/3/09,9771.91,1045.41,50711.62,7.73
11/4/09,9802.14,1046.5,50136.15,7.65
11/5/09,10005.96,1066.63,51628.08,7.88
11/6/09,10023.42,1069.3,51516.42,7.87
11/9/09,10226.94,1093.08,52849.08,8.06
11/10/09,10246.97,1093.01,52432.26,8
11/11/09,10291.26,1098.51,53005.28,8.07
11/12/09,10197.47,1087.24,51968.94,7.9
11/13/09,10270.47,1093.48,52423.28,7.97
11/16/09,10406.96,1109.3,53769.55,8.17
11/17/09,10437.42,1110.32,53741.52,8.17
11/18/09,10426.31,1109.8,53756.45,8.14
11/19/09,10332.44,1094.9,52553.47,7.95
11/20/09,10318.16,1091.38,52435.88,7.92
11/23/09,10450.95,1106.24,53215.55,8.05
11/24/09,10433.71,1105.65,52998.47,8.01
11/25/09,10464.4,1110.63,53092.03,8.02
11/27/09,10309.92,1091.49,51765.77,7.82
11/30/09,10344.84,1095.63,52079.99,7.85
12/1/09,10471.58,1108.86,52904.69,7.96
12/2/09,10452.68,1109.24,53518.19,8.04
12/3/09,10366.15,1099.92,52895.26,7.93
12/4/09,10388.9,1105.98,54202.32,8.11
12/7/09,10390.11,1103.25,54211.93,8.12
12/8/09,10285.97,1091.94,53841.13,8.05
12/9/09,10337.05,1095.95,53886.08,8.05
12/10/09,10405.83,1102.35,53789.91,8.03
12/11/09,10471.5,1106.41,54356.41,8.1
12/14/09,10501.05,1114.11,55206.54,8.22
12/15/09,10452,1107.93,54873.55,8.17
12/16/09,10441.12,1109.18,55241.55,8.23
12/17/09,10308.26,1096.08,54706.24,8.14
12/18/09,10328.89,1102.47,55253.05,8.2
12/21/09,10414.14,1114.05,55936.53,8.31
12/22/09,10464.93,1118.02,56491.42,8.39
12/23/09,10466.44,1120.59,57019.8,8.46
12/24/09,10520.1,1126.48,57384.7,8.49
12/28/09,10547.08,1127.78,57342.34,8.48
