DOW,SP100,NAV
13450.65,1484.46,10
13549.33,1496.45,10.06
13551.69,1497.66,10.07
13359.61,1476.37,9.84
13365.87,1478.49,9.83
13264.82,1468.36,9.8
13043.96,1447.16,9.64
13056.72,1447.16,9.54
12800.18,1411.63,9.27
12827.49,1416.18,9.31
12589.07,1390.19,9.07
12735.31,1409.13,9.16
12853.09,1420.33,9.25
12606.3,1401.02,9.08
12778.15,1416.25,9.16
12501.11,1380.95,8.99
12466.16,1373.2,9.04
12159.21,1333.25,8.82
12099.3,1325.19,8.73
11971.19,1310.5,8.73
12270.17,1338.6,8.97
12378.61,1352.07,8.98
12207.17,1330.61,8.9
12383.89,1353.97,9.08
12480.3,1362.3,9.13
12442.83,1355.81,9.05
12650.36,1378.55,9.27
12743.19,1395.42,9.48
12635.16,1380.82,9.39
12265.13,1336.64,9.17
12200.1,1326.45,9.1
12247,1336.91,9.22
12182.13,1331.29,9.18
12240.01,1339.13,9.2
12373.41,1348.86,9.23
12552.24,1367.21,9.39
12376.98,1348.86,9.23
12348.21,1349.99,9.2
12337.22,1348.78,9.2
12427.26,1360.03,9.34
12284.3,1342.53,9.2
12381.02,1353.11,9.21
12570.22,1371.8,9.39
12684.92,1381.29,9.47
12694.28,1380.02,9.43
12582.18,1367.68,9.34
12266.39,1330.63,9.1
12258.9,1331.34,9.09
12213.8,1326.75,9.05
12254.99,1333.7,9.09
12040.39,1304.34,8.9
11893.69,1293.37,8.87
11740.15,1273.37,8.73
12156.81,1320.65,9.03
12110.24,1308.77,8.94
12145.74,1315.48,9.09
11951.09,1288.14,8.89
11972.25,1276.6,8.77
12392.66,1330.74,9.1
12099.66,1298.42,8.9
12361.32,1329.51,9.07
12548.64,1349.88,9.26
12532.6,1352.99,9.36
12422.86,1341.13,9.28
12302.46,1325.76,9.18
12216.4,1315.22,9.11
12262.89,1322.7,9.19
12654.36,1370.18,9.46
12605.83,1367.53,9.48
12626.03,1369.31,9.46
12609.42,1370.4,9.47
12612.43,1372.54,9.48
12576.44,1365.54,9.45
12527.26,1354.49,9.32
12581.98,1360.55,9.38
12325.42,1332.83,9.16
12302.06,1328.32,9.14
12362.47,1334.43,9.22
12619.27,1364.71,9.48
12620.49,1365.56,9.42
12849.36,1390.33,9.6
12825.02,1388.17,9.55
12720.23,1375.94,9.36
12763.22,1379.93,9.37
12848.95,1388.82,9.45
12891.86,1397.84,9.51
12871.75,1396.37,9.57
12831.94,1390.94,9.52
12820.13,1385.59,9.49
13010,1409.34,9.65
13058.2,1413.9,9.63
12969.54,1407.49,9.61
13020.83,1418.26,9.7
12814.35,1392.57,9.58
12866.78,1397.68,9.6
12745.88,1388.28,9.59
12876.31,1403.58,9.72
12832.18,1403.04,9.77
12898.38,1408.66,9.78
12992.66,1423.57,9.87
12986.8,1425.35,9.85
13028.16,1426.63,9.85
12828.68,1413.4,9.84
12601.19,1390.71,9.72
12625.62,1394.35,9.79
12479.63,1375.93,9.65
12548.35,1385.35,9.77
12594.03,1390.84,9.81
12646.22,1398.26,9.86
12638.32,1400.38,9.91
12503.82,1385.67,9.84
12402.85,1377.65,9.83
12390.48,1377.2,9.86
12604.45,1404.05,10.08
12209.81,1360.68,9.79
12280.32,1361.76,9.76
12289.76,1358.44,9.72
12083.77,1335.49,9.57
12141.58,1339.87,9.57
12307.35,1360.03,9.68
12269.08,1360.14,9.74
12160.3,1350.93,9.69
12029.06,1337.81,9.62
12063.09,1342.83,9.67
11842.69,1317.93,9.53
11842.36,1318,9.49
11807.43,1314.29,9.44
11811.83,1321.97,9.52
11453.42,1283.15,9.26
11346.51,1278.38,9.19
11350.01,1280,9.07
11382.26,1284.91,9.06
11215.51,1261.52,8.83
11288.54,1262.9,8.76
11231.96,1252.31,8.66
11384.21,1273.7,8.95
11147.44,1244.69,8.72
11229.02,1253.39,8.75
11100.54,1239.49,8.75
11055.19,1228.3,8.6
10962.54,1214.91,8.55
11239.28,1245.36,8.9
11446.66,1260.32,9.09
11496.57,1260.68,9.09
11467.34,1260,9.12
11602.5,1277,9.38
11632.38,1282.19,9.46
11349.28,1252.54,9.2
11370.69,1257.76,9.28
11131.08,1234.37,9.09
11397.56,1263.2,9.36
11583.69,1284.26,9.39
11378.02,1267.38,9.34
11326.32,1260.31,9.35
11284.15,1249.01,9.22
11615.77,1284.88,9.49
11656.07,1289.19,9.53
11431.43,1266.07,9.34
11734.32,1296.32,9.64
11782.35,1305.32,9.86
11642.47,1289.59,9.78
11532.96,1285.83,9.78
11615.93,1292.93,9.9
11659.9,1298.2,9.93
11479.39,1278.6,9.77
11348.55,1266.69,9.62
11417.43,1274.54,9.62
11430.21,1277.72,9.56
11628.06,1292.2,9.72
11386.25,1266.84,9.5
11412.87,1271.51,9.55
11502.51,1281.66,9.68
11715.18,1300.68,9.85
11543.55,1282.83,9.75
11516.92,1277.58,9.78
11532.88,1274.98,9.85
11188.23,1236.83,9.59
11220.96,1242.31,9.62
11510.74,1267.79,9.85
11230.73,1224.51,9.55
11268.92,1232.04,9.69
11433.71,1249.05,9.71
11421.99,1251.7,9.71
10917.51,1192.7,9.34
11059.02,1213.59,9.57
10609.66,1156.39,9.12
11019.69,1206.51,9.72
11388.44,1255.08,10.14
11015.69,1207.09,9.68
10854.17,1188.22,9.57
10825.17,1185.87,9.41
11022.06,1209.18,9.51
11143.13,1213.01,9.48
10365.45,1106.39,8.85
10850.66,1166.36,9.15
10831.07,1161.06,9.09
10482.85,1114.28,8.63
10325.38,1099.23,8.44
9955.5,1056.89,8.11
9447.11,996.23,7.64
9258.1,984.94,7.46
8579.19,909.92,6.77
8451.19,899.22,6.93
9387.61,1003.35,7.59
9310.99,998.01,7.43
8577.91,907.84,6.77
8979.26,946.43,7.13
8852.22,940.55,7.01
9265.43,985.4,7.25
9033.66,955.05,7.05
8519.21,896.78,6.67
8691.25,908.11,6.53
8378.95,876.77,6.31
8175.77,848.92,6.06
9065.12,940.51,6.47
8990.96,930.09,6.56
9180.69,954.09,6.86
9325.01,968.75,7.15
9319.83,966.3,7.15
9625.28,1005.75,7.25
9139.27,952.77,6.88
8695.79,904.88,6.63
8943.81,930.99,6.74
8870.54,919.21,6.57
8693.96,898.95,6.43
8282.66,852.3,6.05
8835.25,911.29,6.54
8497.31,873.29,6.13
8273.58,850.75,6.02
8424.75,859.12,5.99
7997.28,806.58,5.53
7552.29,752.44,5.13
8046.42,800.03,5.37
8443.39,851.81,5.76
8479.47,857.39,5.87
8726.61,887.68,6.22
8829.04,896.24,6.3
8149.09,816.21,5.58
8419.09,848.81,5.9
8591.69,870.74,6.09
8376.24,845.22,5.93
8635.42,876.07,6.19
8934.18,909.7,6.42
8691.33,888.67,6.22
8761.42,899.24,6.36
8565.09,873.59,6.05
8629.68,879.73,6.25
8564.53,868.57,6.05
8924.14,913.18,6.45
8824.34,904.42,6.48
8604.99,885.28,6.4
8579.11,887.88,6.35
8519.77,871.63,6.19
8419.49,863.16,6.12
8468.48,868.15,6.16
8515.55,872.8,6.24
8483.93,869.42,6.13
8668.39,890.64,6.37
8776.39,903.25,6.58
9034.69,931.8,6.69
8952.89,927.45,6.67
9015.1,934.7,6.81
8769.7,906.65,6.57
8742.46,909.73,6.65
8599.18,890.35,6.37
8473.97,870.26,6.19
8448.56,871.79,6.26
8200.14,842.62,5.98
8212.49,843.74,6.06
8281.22,850.12,6.09
7949.09,805.22,5.62
8228.1,840.24,5.92
8122.8,827.5,5.72
8077.56,831.95,5.75
8116.03,836.57,5.8
8174.73,845.71,5.88
8375.45,874.09,6.13
8149.01,845.14,5.83
8000.86,825.88,5.66
7936.83,825.44,5.7
8078.36,838.51,5.73
7956.66,832.23,5.68
8063.07,845.85,5.77
8280.59,868.6,6.02
8270.87,869.89,5.99
7888.88,827.16,5.67
7939.53,833.74,5.71
7932.76,835.19,5.73
7850.41,826.84,5.67
7552.6,789.17,5.39
7555.63,788.42,5.32
7465.95,778.94,5.21
7365.67,770.05,5.12
7114.78,743.33,4.9
7350.94,773.14,5.15
7270.89,764.9,5.02
7182.08,752.83,4.95
7062.93,735.09,4.89
6763.29,700.82,4.61
6726.02,696.33,4.49
6875.84,712.87,4.62
6594.44,682.55,4.32
6626.94,683.38,4.32
6547.05,676.53,4.24
6926.49,719.6,4.59
6930.4,721.36,4.59
7170.06,750.74,4.89
7223.98,756.55,4.94
7216.97,753.89,4.9
7395.7,778.12,5.12
7486.58,794.35,5.34
7400.8,784.04,5.29
7278.38,768.54,5.13
7775.86,822.92,5.58
7659.97,806.12,5.36
7749.81,813.88,5.5
7924.56,832.86,5.74
7776.18,815.94,5.55
7522.02,787.53,5.31
7608.92,797.87,5.41
7761.6,811.08,5.54
7978.08,834.38,5.85
8017.59,842.5,5.94
7975.85,835.48,5.83
7789.56,815.55,5.62
7837.11,825.16,5.74
8083.38,856.56,5.96
8057.81,858.73,5.99
7920.18,841.5,5.78
8029.62,852.06,5.91
8125.43,865.3,6.09
8131.33,869.6,6.19
7841.73,832.39,5.76
7969.56,850.08,6.03
7886.57,843.55,6.04
7957.06,851.92,5.98
8076.29,866.23,6.15
8025,857.51,6
8016.95,855.16,6.07
8185.73,873.64,6.31
8168.12,872.81,6.27
8212.41,877.52,6.28
8426.74,907.24,6.57
8410.65,903.8,6.54
8512.28,919.53,6.63
8409.85,907.39,6.44
8574.65,929.23,6.74
8418.77,909.24,6.56
8469.11,908.35,6.59
8284.89,883.92,6.26
8331.32,893.07,6.39
8268.64,882.88,6.32
8504.08,909.71,6.61
8474.85,908.13,6.58
8422.04,903.47,6.51
8292.13,888.33,6.39
8277.32,887,6.35
8473.49,910.33,6.65
8300.02,893.06,6.49
8403.8,906.83,6.52
8500.33,919.14,6.64
8721.44,942.87,6.9
8740.87,944.74,6.95
8675.28,931.76,6.86
8750.24,942.46,7
8763.13,940.09,6.99
8764.49,939.14,6.93
8763.06,942.43,6.97
8739.02,939.15,6.94
8770.92,944.89,6.97
8799.26,946.21,6.94
8612.13,923.72,6.73
8504.67,911.97,6.62
8497.18,910.71,6.62
8555.6,918.37,6.66
8539.73,921.23,6.7
8339.01,893.04,6.42
8322.91,895.1,6.38
8299.86,900.94,6.44
8472.4,920.26,6.62
8438.39,918.9,6.7
8529.38,927.23,6.71
8447,919.32,6.66
8504.06,923.33,6.79
8280.74,896.42,6.52
8324.87,898.72,6.49
8163.6,881.03,6.37
8178.41,879.56,6.32
8183.17,882.68,6.34
8146.52,879.13,6.35
8331.68,901.05,6.53
8359.49,905.84,6.58
8616.21,932.68,6.84
8711.82,940.74,6.94
8743.94,940.38,6.9
8848.15,951.13,7
8915.94,954.58,6.96
8881.26,954.07,7.01
9069.29,976.29,7.23
9093.24,979.26,7.26
9108.51,982.18,7.32
9096.72,979.62,7.33
9070.72,975.15,7.29
9154.46,986.75,7.42
9171.61,987.48,7.43
9286.56,1002.63,7.58
9320.19,1005.65,7.65
